Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
GetCollective,https://www.crunchbase.com/organization/getcollective,2021-02-01,month,11-50,"GetCollective the first project management application for all teams managing light projects in parallel. It allows them to save all their project information in project hubs (files, decisions, tasks, meeting notes, pictures...), and simply sort and update it. The application integrates with Microsoft 365 and Google Workspace to make it easy to use and implement. Teams save time, are more aligned and productive, and never lose project information.",https://www.getcollective.com/,"Collaboration, Knowledge Management, Meeting Software, Productivity Tools, Project Management, SaaS, Software","Paris, Ile-de-France, France",GetCollective is the first project management application for all teams managing light projects in parallel.,"120,161",,,,,,,,,,,,
Fluorine,https://www.crunchbase.com/organization/fluorine,2021-02-01,day,1-10,"Relationships are fundamental for any business, so we're here to empower them. Fluorine is a global collaboration hub that simplifies collaboration and makes people’s working lives simpler, more pleasant, and more productive. We help teams create workflow apps in minutes to run their processes, projects, and everyday work. Let's simplify work and promote collaboration-- together.",https://fluorine.app,"Collaboration, Enterprise Software, Messaging, Productivity Tools, Project Management, SaaS, Software, Task Management","New York, New York, United States",Fluorine is a computer software company that empowers you to create the perfect space for your team's workflows and relationships,"178,904",968,,-60.97%,,0,1.81,81.3%,18.7%,-81.3%,"7,082,163","2,477,818",53.81%
AsyncGo,https://www.crunchbase.com/organization/asyncgo,2021-01-05,day,1-10,"Make better decisions, build alignment, and deliver outsized outcomes. AsyncGo helps your team focus by minimizing chat and meeting interruptions.",https://asyncgo.com,"Collaboration, Software","Leiden, Zuid-Holland, The Netherlands","More teamwork, less distraction","935,952",,,,,,,,,,,,
Ceezer,https://www.crunchbase.com/organization/ceezer,2021-01-01,year,11-50,"Ceezer is a digital-first carbon bank that gives companies access to and guidance through the complex voluntary carbon market. Ceezer builds the digital infrastructure to transform voluntary climate investment into high-impact climate action through infrastructure, data, and collaboration.",https://www.ceezer.earth,"Big Data, CleanTech, Collaboration, Project Management","Berlin, Berlin, Germany",Ceezer is a digital-first carbon bank that gives companies access to and guidance through the complex voluntary carbon market.,"13,942",,,,,,,,,,,,
Zing Data,https://www.crunchbase.com/organization/zing-data,2021-01-01,year,1-10,"Zing Data is a free app for collaborative business intelligence and visualization. Easily ask questions of your company's data (Google Sheets, PostgreSQL, Presto, Snowflake, BigQuery and more to come) for free in just a few taps. Ask questions, search for data, create helpful graphs, and discuss with your team - from wherever you are. Zing makes your company's databases easily accessible from any mobile device. No need to write SQL, deal with spreadsheets - just ask a question and get an answer in seconds. Then work with your colleagues with powerful in-app messaging functionality to drive results and make decisions. Graphs on the go Choose from a range of chart types and tables to visualize answers to questions from your phone, and save graphs to your phone's gallery to use in emails, presentations, and more Ask questions in a few taps Choose from common SQL functionality to answer questions from data. All the powerful SQL functionality is included: counts, sums, distinct values, group bys, having, and more! Collaborate with your team Built in messaging functionality lets you share visualizations and questions with your teammates, use @mentions with colleagues to get their insights, get decisions made quickly. Create an account at getzingdata.com or download our app from Google Play Store or Apple App Store.",https://getzingdata.com,"Analytics, Business Intelligence, Collaboration, Data Visualization, Mobile Apps, Productivity Tools, SaaS","San Francisco, California, United States","Mobile first, collaborative business intelligence for everyone","23,287",866,,,,61,1.62,,52.71%,,"7,205,442",,
Integritee,https://www.crunchbase.com/organization/integritee,2021-01-01,year,11-50,"Integritee is a scalable public blockchain solution for securely processing sensitive business or personal data. Their platform enables collaboration between businesses on sensitive data while giving all parties control and transparency about what their data is used for. It was founded in 2021 and is based in Zurich, Switzerland.",https://www.integritee.network/,"Big Data, Blockchain, Collaboration","Zürich, Zurich, Switzerland",Integritee is a scalable public blockchain solution for securely processing sensitive business or personal data.,"32,684",,,,,,,,,,,,
Morgen,https://www.crunchbase.com/organization/morgen,2021-01-01,year,1-10,"Morgen lets you manage and optimize your time from a single app. As the demands on our time have grown increasingly complex, so too has our time management - multiple calendars for work and life, to do apps, project management tools, and schedulers. All those tools are fragmenting the way we manage time rather than simplifying it. Morgen integrates with all calendars and your go-to task and project management tools. It additionally has a native scheduling tool. This lets Morgen users plan, organize and optimize their time all from one place.",https://morgen.so/,"Collaboration, Productivity Tools, Scheduling, Software","Zürich, Zurich, Switzerland","Morgen is a universal time management platform where you can merge your calendars, to do’s, productivity apps and schedulers.","49,785","56,452","28,100.5",129.86%,41.93%,457,2.33,15.02%,33.86%,-45.88%,"801,370","-513,601",-39.06%
Weje,https://www.crunchbase.com/organization/weje,2021-01-01,year,11-50,"Weje is an online whiteboard service for distributed teams to work together efficient way. Real-time collaboration on the shared infitine desktop, mindmaps, gathering and sharing of the information from all possible sources. In Weje you organize your personal and busines information in the single account, and you can share it to public, or to invite other collaborators to make something really big together. Free for personal use.",https://weje.io,"Business Development, Business Information Systems, Collaboration, Software, Virtual Workforce","Edgewater, New Jersey, United States",Weje is an online whiteboard service for distributed teams to work together the efficient way,"81,546","25,513","21,570.67",6.15%,227.11%,929,1.76,-7.19%,76.56%,59.67%,"1,328,680","-6,651",-0.5%
Propel Center,https://www.crunchbase.com/organization/propel-center,2021-01-01,year,,Propel Center is a physical and virtual campus that is designed to provide Historically Black Colleges and Universities (HBCUs) with shared services to support their work of preparing leaders. The company is committed to transforming HBCU students into civic-minded leaders capable of dismantling systemic injustice while shaping the future through innovation and entrepreneurship.,https://propelcenter.org/,"Collaboration, Education, Social Entrepreneurship","Atlanta, Georgia, United States",Propel Center is a tech hub for historically black colleges and universities.,"85,053","1,673",,-71.98%,-98.74%,0,1,-50%,100%,-50%,"5,549,176","2,621,900",89.57%
ThoughtWorld,https://www.crunchbase.com/organization/thoughtworld,2021-01-01,year,1-10,"ThoughtWorld is an interactive digital platform helping people share and refine their thoughts and opinions. The platform was built to encourage people to think, find compromises, collaborate with others, and be unafraid to pose new ideas, even bad ones. It provides a safe place to explore new thoughts, anonymously interact with other verified real people, and collaborate on new ideas. ThoughtWorld was founded by Robert Ming in 2021.",https://thoughtworld.com,"Collaboration, Information Services, Social Media","Irvine, California, United States",ThoughtWorld is an interactive digital platform helping people share and refine their thoughts and opinions.,"121,311",,,,,,,,,,,,
Bezel,https://www.crunchbase.com/organization/bezel,2021-01-01,year,1-10,,https://www.bezel.it/,"3D Technology, Collaboration, Product Design, Software","San Francisco, California, United States",Bezel is a collaborative 3D design tool.,"146,601","85,574",,"5,943.36%",,946,1.34,33.62%,70.93%,-29.07%,"607,997","-5,495,163",-90.04%
Axolo,https://www.crunchbase.com/organization/axolo,2021-01-01,year,1-10,Axolo is a bidirectional Github-Slack integration to help tech teams reduce pull request time and improve code review feedback.,https://axolo.co,"Collaboration, Information Technology, Productivity Tools, Software","Paris, Ile-de-France, France",Axolo is a bidirectional Github-Slack integration to help tech teams reduce pull request time and improve code review feedback.,"166,160","24,169","12,064.83",154.81%,-60%,10,1.22,10.76%,90.06%,0.07%,"1,368,326","-874,490",-38.99%
Dots,https://www.crunchbase.com/organization/dots-4287,2021-01-01,year,1-10,Dots helps companies interact with their customers through their Slack or Discord communities to increase revenue and retention.,https://dots.community/,"Collaboration, Communities, Messaging, SaaS, Software","Brooklyn, New York, United States",Dots helps companies interact with their customers through their Slack or Discord communities to increase revenue and retention.,"169,220",,,,,,,,,,,,
Telleso,https://www.crunchbase.com/organization/telleso,2021-01-01,year,1-10,"Telleso is an an intranet software, enterprise social network, and collaboration platform that lets your communications flow seamlessly. The all-in-one enterprise employee communication platform designed to increase employee engagement and centralize internal communications. Through a familiar social experience, we help connect employees to their digital environment, to their organization and to each other, ensuring employees feel included and valued.  This platform facilitates managing remote and hybrid teams and collaborating for enterprise and fast-growing organization.",http://www.telleso.com,"Collaboration, Computer, Enterprise Software, Human Resources, Information Technology, Internet, SaaS, Software","Palo Alto, California, United States","SaaS, Intranet, Information Technology, Collaboration, Human Resources, Enterprise Software","184,929",,,,,,,,,,,,
Paco,https://www.crunchbase.com/organization/paco-0d63,2021-01-01,month,1-10,"Paco is a new Slack productivity app that sniffs out important asks hidden beneath heaps of Slack conversations and reminds you about them at an appropriate time. It tracks and follows up on important messages with your colleagues automatically, freeing you up to tackle things that need your undivided attention. Paco was recently the #3 Product of the Day on ProductHunt, and is featured as a 'New & Noteworthy' app on Slack!  Designed for Developers, Designers, Data Scientists, Managers, Product Managers, Founders/CEOs or WFH remote workers who need to step away from the Slack chaos and still not miss out on important stuff.",https://www.pacohq.com,"Apps, Collaboration, Computer, Developer Tools, Internet, Productivity Tools, SaaS, Software","New York, New York, United States",Paco is a Slack productivity app. Never miss a thing on Slack — be more calm and productive,"228,625","2,675",,,,0,1,,100%,,"4,543,842",,
Deskfirst,https://www.crunchbase.com/organization/deskfirst,2021-01-01,year,1-10,"Deskfirst provides intuitive data sharing and online collaboration desktops to make online work accessible to anyone. With Deskfirst, businesses that work with a wide audience of customers or colleagues can be sure that their collaborators, be tech-oriented or not, would be easily able to work with them online and enjoy the many benefits of state-of-the-art collaboration in the cloud.",https://deskfirst.com,"Collaboration, File Sharing, Productivity Tools, SaaS","Los Angeles, California, United States",Deskfirst provides intuitive web collaboration desktops to make online work accessible to anyone.,"239,618","3,501",,,,0,1,,100%,,"3,971,784",,
Wonder,https://www.crunchbase.com/organization/wonder-3899,2021-01-01,year,1-10,"Wonder is a task management system that allows the team to organize projects, pay contributors, and collaborate on projects. Wonder was founded in 2021 and was headquartered in San Francisco, USA.",https://www.wonderverse.xyz,"Collaboration, Software, Task Management","San Francisco, California, United States","Wonder is a task management system that allows the team to organize projects, pay contributors, and collaborate on projects.","254,857",,,,,,,,,,,,
BeyondWalls,https://www.crunchbase.com/organization/beyondwalls,2021-01-01,year,,"BeyondWalls is an integrated Proptech ecosystem that collaborates between Real Estate Developers and Channel Partners. The company serves as a transparent and trusted platform for the entire real estate ecosystem in India. The company was founded in 2021 and is based in Pune, India.",https://beyondwalls.com/,"Collaboration, Real Estate","Pune, Maharashtra, India",BeyondWalls is an integrated Proptech ecosystem that collaborates between Real Estate Developers and Channel Partners.,"271,247","4,011","2,151.17",208.06%,-46.8%,938,6.04,1.28%,25%,-15.63%,"3,755,512","-2,659,433",-41.46%
Sparkel,https://www.crunchbase.com/organization/sparkel,2021-01-01,year,1-10,"Sparkel is a collaborative web platform for data-driven construction companies. It offers takeoffs, supplier communication, and design change management, enabling contractors to efficiently manage their projects, reduce material waste, and increase productivity. They directly translate to reduced costs, less construction waste, and a better overview of your building project. Sparkel was founded in 2021 and is based in Oslo, Norway.",https://sparkel.io,"Collaboration, Construction, Software, Sustainability","Oslo, Oslo, Norway",Sparkel is a collaborative web platform for data-driven construction companies.,"377,987",854,,-81.26%,,1,1.56,56.32%,43.68%,-56.32%,"7,220,351","3,671,559",103.46%
Briidge,https://www.crunchbase.com/organization/briidge,2021-01-01,year,1-10,,https://briidge.live/,"Collaboration, Internet, Marketing, SaaS, Sales, Software","New York, New York, United States","Briidge is a collaboration tool for marketing agencies, in-house teams, and freelancers that provides real-time analytics.","648,558",,,,,,,,,,,,
QUIDZI,https://www.crunchbase.com/organization/netmino,2021-01-01,year,1-10,"Quidzi is a new all-in-one platform for creators, team leaders and organizations who daily create, communicate and share content to value internal know-how and team knowledge.",http://www.quidzi.com,"Collaboration, EdTech, Enterprise Applications, Enterprise Software, Human Resources, Messaging, Social Media, Software","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Quidzi is a new all-in-one platform for creators who daily create and share content to value internal know-how and team knowledge.,"760,100",,,,,,,,,,,,
Circles.house,https://www.crunchbase.com/organization/circles-house,2021-01-01,year,1-10,Circles is a global co-living platform for aspiring entrepreneurs and mindful digital nomads. Circles was founded in 2021 by Karen Prats.,https://www.circles.house,"Collaboration, Hospitality, Lifestyle","Barcelona, Catalonia, Spain",Circles is a global co-living platform for aspiring entrepreneurs and mindful digital nomads.,"1,080,246",,,,,,,,,,,,
Bold Fest,https://www.crunchbase.com/organization/bold-fest,2021-01-01,year,1-10,,https://www.boldfest.is,"Brand Marketing, Collaboration, Content Creators, Events, Marketing, Media and Entertainment, Professional Networking","Moldova, Bistrita-Nasaud, Romania","Bold Fest specializes in events for the learning of development tools, creating a network of specialties, branding and collaborations.","1,474,734","3,204",,,,0,1,,100%,,"4,164,904",,
