Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Xehon,https://www.crunchbase.com/organization/xehon,2013-10-01,day,1-10,"Xehon is a multi-platform Cloud CMS. It is designed like an operating system in the cloud. The system is based on modules. Modules include : Document Editor, File Upload, Image Gallery, Graphic Editor, Slide Editor, Messaging, Calendar, Notes, Blog, Forum. New modules are added over time to enhance platform capabilities.",http://www.xehon.com,"Cloud Computing, Collaboration, SaaS, Software","Paris, Ile-de-France, France",Private Cloud System,"1,214,490",,,,,,,,,,,,
RePopRoom,https://www.crunchbase.com/organization/repoproom,2013-10-01,day,1-10,"RePopRoom includes a progressive, curated physical and digital showroom with a gallery aesthetic where products are for sale to consumers and wholesalers, an event space, and a number of different amenities and services. At its core, RePopRoom is a curated, membership based community for creative companies and individuals. We give members the opportunity to secure affordable and flexible showroom, workspace, event space, and a variety of other services to help brands grow. After working several years in the coworking industry, RePopRoom Founders, Suzanne M. Kennedy and Megan Mallow, conceived the concept of a one-stop design house for creatives. Their mission is twofold: to rejuvenate the way people buy and sell through unique market spaces, both in real life and online, and to provide members with the best community and services to help them flourish.",http://www.repoproom.com,"Art, Collaboration, Consulting, Coworking, Events, Fashion, Real Estate, Retail","New York, New York, United States","RePopRoom is a curated, membership based community for creative companies and individuals.","1,405,296",,,,,,,,,,,,
Been,https://www.crunchbase.com/organization/been,2013-09-27,day,11-50,"Make the web support all the different ways you want to teach. And make it adapt to the ways your students learn best.  Beens become unique gatherings for learning—combining people, discoveries, and commentary. ""Surf Together"" to browse the web together. It's slide-share for the web.  Use a Been to leave ""breadcrumbs"" of ideas through the web for students to grapple at their own pace. ""Chat"" with the entire class when you are all on the same page. Sync up at any time, for a student presentation or question.",http://beenpod.com/edu,"Browser Extensions, Collaboration, Education, Social Bookmarking","New York, New York, United States",Been for Education allows you to adapt the web to the way you want to teach. Gather where you've been together.,"1,139,139",,,,,,,,,,,,
Justlivit AB,https://www.crunchbase.com/organization/justlivit-ab,2013-09-27,day,1-10,,https://www.justlivit.se/,Collaboration,"Tyresö, Stockholms Lan, Sweden",Justlivit is a forward-looking company & technology core principle of confidence and close collaboration.,"2,257,309",,,,,,,,,,,,
Teammate,https://www.crunchbase.com/organization/teammate-co,2013-09-14,day,1-10,"Everybody has troubles sharing documents by email. You may use solutions like Dropbox, SkyDrive, Google Drive, Evernote... but you will always need to collaborate with people who use other solutions than yours. Back to email! Teammate is a sharing network which helps you to share and keep track of shared documents, and which is as easy to use as sending an email. Email is simple, right? You write an email, you click ""Send"", it goes in your Outbox. Then, it pops in the Inbox of your recipients. Dead simple. Well, Teammate works like email, but with files instead of emails, and sharing folders instead of mailboxes. Teammate integrates your applications and setup sharing folders for all your projects. Drag & drop a file in a sharing folder, it will be organised, delivered and notified to your teammates, regardless the application they use.",http://teammate.co,"Collaboration, Web Hosting","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",File sharing made easier than email,"1,014,851",,,,,,,,,,,,
Mainframe,https://www.crunchbase.com/organization/mainframe-2,2013-09-01,day,11-50,"Mainframe — A decentralized network for censorship-resistant message routing. The need for a privacy and security focused communications ecosystem has never been higher. Distrust and centralized powers abound, with third parties monopolizing users’ information and governments imposing surveillance tactics on citizens inside and outside their borders. Each takes advantage of the same decades-old architecture on which the entire Internet is built.  The Mainframe network is the messaging layer for the new web. This goes beyond human-to-human messaging. There are many use-cases and applications for reliably, privately, and securely routing data packets through the Mainframe peer-to-peer network. Mainframe is resistant to censorship, surveillance, and disruption. With the exception of a catastrophic asteroid event or an aggressive alien invasion, the Mainframe network is simply unstoppable. We build with five fundamental principles as our guide.",https://mainframe.com/,"Blockchain, Collaboration, Enterprise Software, Messaging, Security","San Mateo, California, United States",Mainframe is a convenient platform for secure decentralized applications.,"30,363",,,,,,,,,,,,
Beatswitch,https://www.crunchbase.com/organization/beatswitch,2013-09-01,day,11-50,"BeatSwitch connects Festival organizers and booking agencies to empower the artist.  One business platform to plan, collaborate and work more efficient. BeatSwitch is a planning tool that becomes intelligent during the festival.  We track changes in the planning and provide the right information to the right person with the right view.  BeatSwitch is the digital assistant of an event manager that makes planning more dynamic and can make suggestions on what action to take when the planning is changing during the festival.",http://beatswitch.com,"Art, Collaboration, Event Management, Events, Music, SaaS, Software","Antwerp, Antwerpen, Belgium",BeatSwitch connects festival organizers and booking agencies to empower the artist.,"66,038","1,627","14,461.83",-83.32%,-84.99%,0,1,-61.86%,100%,106.44%,"5,976,302","3,766,362",170.43%
Tracktl,https://www.crunchbase.com/organization/track-tl,2013-09-01,day,11-50,"Tracktl is the music solution for all your events and places designed to highlight your brand identity and enrich the customer experience through music. Tracktl is a fully agile service allowing every places to create, manage and play the playlist that fit the best to their customer experience. We also provide a range of interactive features (social jukebox, social wall, promotion manager) to engage customer and customize and enhance their experience.  Our services allow every place manager to provide a locally customized experience and gather data and create retention thanks to the different interactive feature.",http://www.tracktl.com,"Collaboration, Music, Social Media","Paris, Ile-de-France, France",Tracktl is music plateform as a service for places and events.,"102,986","5,955","2,595.5",59.91%,-99.08%,13,1.68,-3.11%,87.46%,234.46%,"3,196,900","-651,739",-16.93%
SolidFace Technology,https://www.crunchbase.com/organization/solidface-technology,2013-09-01,day,1-10,"SolidFace allow designers and engineers span multiple disciplines with ease, shortening the design cycle, & increasing ROI. SolidFace Cloud CAD system is built for teams. Collaborate with your colleagues, vendors and partners in real time. Version control is built in. Never lose track of the latest version of your work again. Control access, work together simultaneously and branch designs. SolidFace is a sum of Parasolid ® Siemens 3D modeler core and 15 years of UniCAD 2D/3D development resulting in a product with powerful capabilities of detailing, solid modeling, assembly, parameterization and cloud collaboration.",https://app.solidface.com/,"3D Printing, 3D Technology, Cloud Computing, Collaboration, Manufacturing, Software","Austin, Texas, United States","Allowing designers and engineers collaborate and span multiple disciplines in real time, shortening the design cycle, & increasing ROI.","166,465",,,,,,,,,,,,
Leaderz,https://www.crunchbase.com/organization/leaderz,2013-09-01,day,1-10,"Leaderz provides a global organizing platform for groups with social causes. The firm offers an end-to-end solution for public organizations to managing various entities that builds their community. It allows its users to identify the right people for each task and to keep an updated database of their community; motivate members to engage in real-time across departments, locations, topics, and activities; and network with like-minded people, join more communities, and find new opportunities. It also helps users leverage social media by sharing and syndicating content, such as updates, groups, and events from its network to public social networks. Leaderz is a U.S.-based company that was founded in 2013 by Arthur Vainer and Sharon Savariego.",http://www.leaderz.org,"Collaboration, CRM, Social Media, Software","Palo Alto, California, United States",collaboration,"630,057",,,,,,,,,,,,
Openversa.com,https://www.crunchbase.com/organization/miversa-inc-,2013-08-21,day,1-10,"Openversa is a cloud-based distributed intelligence platform that easily uploads files and data from IoT / Connected Devices and automatically organizes them based on context, rules and content. The files & data can then be searched, analyzed, mined or automatically acted upon via rules for proactive operational insights and decision-making.  Alerting, messaging and collaboration around the files, data and insights are all tracked and searchable within the platform.",http://www.openversa.com,"Artificial Intelligence, Cloud Data Services, Collaboration, Developer APIs, Internet of Things, SaaS, Software","El Segundo, California, United States",Operational Intelligence for IoT / Connected Device,"1,092,948",,,,,,,,,,,,
PlanRadar,https://www.crunchbase.com/organization/defectradar,2013-08-02,day,101-250,"PlanRadar offers a SaaS solution for documentation and communication in construction and real estate projects (e.g. construction documentation, task and defect management. due diligence, etc.). Today, there are in each real estate project on average 1-2 issues per 100ft². PlanRadar's solution with web access and native apps for all kinds of mobile devices (iOS, Android, Windows) supports the user in recording, documentation, communication, and tracking of any kind of information. Project & site managers, architects & planners, specialists, technicians, property &facility managers or investors and owners can record any kind of information (e.g. tasks, defects, ec.) in a cost & time-saving way directly on the site with their tablet or smartphone and assign them in real-time to responsible project stakeholders. PlanRadar has already more than 7,000 customers and more than 60,000 users from 45 different countries worldwide. Thousands of our users save already 7 working hours every single week.",https://www.planradar.com,"Architecture, Collaboration, Construction, Real Estate, SaaS","Vienna, Wien, Austria",PlanRadar offers a SaaS solution for documentation and communication in construction and real estate projects.,"3,661","190,589","127,947.67",62.5%,-3.88%,792,4.21,34.47%,60.5%,1.9%,"354,588","-121,492",-25.52%
Sellf,https://www.crunchbase.com/organization/sellf,2013-08-01,day,51-100,"Sellf is the Runkeeper for  Business: a smart and super easy to use mobile  personal CRM and  assistant. SME’s, Professionals, Sales Agents,  are struggling to get their business life organized overwhelmed by spreadsheets, todo lists, calendars and dispersed notes. Lost opportunities and unnecessary stress are the consequences of the lack of smart tools. The tipical productivity applications are not enough to effectively  manage the business opportunities, while traditional CRMs and SFA systems are too complicated and costly. Sellf  is a mobile app that allows to catch and close every single business opportunity in a very simple way. It  collects and organizes in smart cards all clients data, the progress of each deal and it reminds to-do’s and follow up’s. It  manages appointments and contacts, including geolocation information  for a better planning of time and travels. The business is under control also on the go thanks to powerful and straightforward  infographics that show, at glance,  the business performances against the objectives.",http://sellfapp.com,"Collaboration, CRM, Mobile, Sales","Roncade, Veneto, Italy",Sellf is your unique personal assistant that helps and follows your business flow. Flexible. Mobile. Personal.,"98,777",,,,,,,,,,,,
Dunwello,https://www.crunchbase.com/organization/dunwello,2013-08-01,day,1-10,"Dunwello is a professional tool designed to help you be both happy and productive at work. It’s free for anyone within a company to launch and use. The Boston startup 'why' – the belief that every person at every company should be both happy and productive.""",http://www.dunwello.com,"Collaboration, Enterprise Software, Human Resources","Boston, Massachusetts, United States",Professional tool designed to help you,"131,964",,,,,,,,,,,,
Conduct,https://www.crunchbase.com/organization/conduct-me,2013-08-01,day,1-10,"Conduct is the easy solution to Musical Collaboration. Brought by musicians for musicians, conduct.me is an app (currently only on iOS) that helps event producers and band leaders have their team on the same page. Users can Collaborate together on events, attach files, and much more. Users can also find and network with each other.",http://conduct.me,"Collaboration, Music","New York, New York, United States","A mobile calendar App, Conduct saves time through group organization","1,944,195",,,,,,,,,,,,
Wedocracy,https://www.crunchbase.com/organization/wedocracy,2013-07-19,day,1-10,"Wedocrats have more fun!  What happens when an engaged couple working in the world of web development plan their Nigerian/American/Jewish/Mexican wedding?  They don’t just want to use good online tools, but great ones.They want their guests to not only have fun, but to have a blast. They don’t want to just enjoy their wedding, they actually want to have no regrets. So, in July of 2012 when Peter Jacobson asked Uchechi Kalu to marry him, she said yes - and they decided to create what they wanted and weren't finding in other apps: a collaborative social network, for weddings. They were married on November 10th, 2012 and not only did they have a blast, but also started a wedOcracy.",http://wedocracy.com,"Career Planning, Collaboration, Social Media, Wedding","New Orleans, Louisiana, United States",Wedocrats have more fun! What happens when an engaged couple working in the world of web development plan their Nigerian/American/Jewish/M,"1,635,682",,,,,,,,,,,,
Kelp,https://www.crunchbase.com/organization/kelp,2013-07-16,day,11-50,"Kelp helps teams to build apps and tools faster together. With a focus on speed and simplicity, we craft beautiful, modern software that elevates the development experience. The traditional way of developing operational business applications is still lengthy, expensive, and requires highly skilled developers. Our mission is to break this tradition and empower people to make anything they can imagine by using data and technology. We're building a no-code apps development platform, where teams collaborate to rapidly design, develop and operate interactive data-driven applications 10x faster than traditional coding. Pleeco empowering people to achieve more by using data and technology. We build products and solutions for operational analytics. Founded in 2013, Pleeco is headquartered in New York with an office in St.Petersburg, Russia.",http://kelp.app,"Apps, Collaboration, Developer Tools, SaaS, Software","New York, New York, United States",Kelp is the collaborative no-code data apps platform.,"136,099",,,,,,,,,,,,
Pingboard,https://www.crunchbase.com/organization/pingboard,2013-07-15,day,11-50,"Pingboard is at the forefront of helping companies retain and engage employees. Founded in 2013, Pingboard has become a global leader in the HR tech space, providing a software platform that changes how People Operations leaders drive employee experiences. Pingboard offers an integrated platform that delivers a real-time organizational chart, employee directory, peer to peer recognition, and much more. Created in Austin with a fully distributed team, Pingboard earned a place on Built In's Best Small Companies to Work for In Austin 2022.",https://pingboard.com,"Collaboration, Enterprise Software, Human Resources, SaaS, Software","Austin, Texas, United States",Pingboard is an HR tech company that helps companies retain and engage employees.,"18,271","810,710","520,438.5",50.6%,141.44%,973,1.86,4.74%,63.64%,7.05%,"128,168","-38,322",-23.02%
Cronycle Ltd,https://www.crunchbase.com/organization/cronycle-ltd,2013-07-14,day,11-50,"Cronycle is a collaborative research platform We are transforming the way professionals research business topics and create actionable intelligence. We have two main parts to help with research Content Discovery: Easily create topic specific feeds with your trusted sources and personalised search queries Collaborate with a team and annotate articles: Build digital collaborative spaces where you select and annotate the most relevant articles and documents, for a specific purpose, in a select team We’re relied upon by financial analysts, consultants, content marketers, freelancers and entrepreneurs.",https://cronycle.com,"Apps, Business Intelligence, Collaboration, Collectibles","London, England, United Kingdom",Cronycle - Collaborative Research Platform for Professionals,"58,757","1,316","3,065.83",-11.91%,-99.64%,0,1,-14.29%,100%,20%,"6,536,868","593,314",9.98%
BuzzTale,https://www.crunchbase.com/organization/buzztale,2013-07-08,day,1-10,"BuzzTale provides real-time, mobile storytelling tools for creating employee-sourced and professional content within your business. Gather the best moments from large meetings, off-sites & conferences, team-building events, training sessions and various social activities. Curate the content and then safely share stories that help to define the unique culture of your company and build the foundations for better communications and stronger employee engagement. Made at the eegloo business lab",http://buzztale.com,"Apps, Collaboration, Events, Mobile, Real Time, Social Media","Riga, Riga, Latvia",The Enterprise Story Network: Build engaging communications for a stronger corporate culture.,"249,798",,,,,,,,,,,,
teamspir.it,https://www.crunchbase.com/organization/teamspir-it,2013-07-04,day,1-10,"teamspir.it is a productivity and motivation logbook teams use to share, reflect and durably archive experiences, daily achievements, know-how and opinions.",http://teamspir.it,"Collaboration, SaaS, Small and Medium Businesses, Software","Fohren-linden, Rheinland-Pfalz, Germany",SaaS productivity/motivation tool,"1,848,200",,,,,,,,,,,,
Vocoli,https://www.crunchbase.com/organization/vocoli,2013-07-01,day,11-50,"Ever had a great idea for how to improve your company, but no way to get it to leadership? Maybe you dropped it in a suggestion box (But most likely that ended up in a black hole) Vocoli is fixing some of the traditional barriers for internal (specifically vertical) communication by fixing the traditional suggestion box. We're Boston-based and focused on making a better workplace by driving VERTICAL communication between employees and leadership. Our app includes employee surveys and engagement analytics, pulse surveys, challenges, polls and an enterprise suggestion box/innovation platform.",http://www.vocoli.com,"Collaboration, Enterprise Software, Human Resources, Market Research, SaaS, Social Impact","Boston, Massachusetts, United States","Vocoli drives employee communication through surveys, polls, challenges, innovations and gamification.","507,388",364,,,,0,1,,100%,,"8,899,709",,
Rainmaking Loft,https://www.crunchbase.com/organization/rainmaking-loft,2013-07-01,day,51-100,"Rainmaking Loft is a start-up hub, set up by Rainmaking, an international partnership of serial entrepreneurs with offices in Berlin, London and Copenhagen.",http://www.rainmakingloft.com,"Collaboration, Non Profit","London, England, United Kingdom","Rainmaking Loft is a co-working space set up by Rainmaking, one of Europe's leading players within entrepreneurship.","588,391",,,,,,,,,,,,
Remote.st,https://www.crunchbase.com/organization/remote-st,2013-07-01,day,1-10,"Remote.st is a marketing and advertising company based out of Kiev, Kyiv city, Ukraine.",http://remote.st,"Advertising, Collaboration, Consumer Electronics, Project Management, Video, Video Chat, Video Streaming","Kiev, Kyyivs'ka Oblast', Ukraine","Remote.st is a marketing and advertising company based out of Kiev, Kyiv city, Ukraine.","2,068,369",,,,,,,,,,,,
HaikuJAM,https://www.crunchbase.com/organization/haikujam,2013-06-13,day,1-10,"HaikuJAM is a free collaborative haiku-writing mobile application through which people write haiku poetry together, line by line by line. Haiku are 3-line syllable based poems that originate in Japan. The final line of a haiku should include a twist. We aim to provide smart-phone users with a collaborative tool for creative expression and stress-relief. HaikuJAM is a stimulating, interactive and creatively nourishing experience.",http://www.haikujam.com,"Apps, Collaboration, Digital Entertainment, Mobile Apps, Software","London, England, United Kingdom",Collaborative Poetry & Artistic Expression App,"24,696","1,025",,289.73%,-51.43%,17,1.82,-9.22%,59.22%,,"7,009,261","-2,314,303",-24.82%
Mobibeam,https://www.crunchbase.com/organization/mobibeam,2013-06-04,day,1-10,"Mobibeam’s mission is to improve mobile collaborations by providing a simple, highly flexible platform for sharing files, collaborating through a common virtual workspace and presenting content on remote devices.  The core element of Mobibeam is a workspace called bench, where multiple users can add content such as images, text files, web pages, presentations, audio, video and others. All changes on the bench including the items positions and content are synchronized in real-time between all devices connected to the particular bench. Any of the connected devices can also be used as a remote beamer for presenting content of any item on the bench. All data and history is securely retained in Cloud storage.  One of the main disruptive features of Mobibeam is the instant collaboration mechanism which in simplest scenarios enables to pair two devices with a single touch gesture, while providing more complex features such as connecting remote users or one-to-many devices simultaneously.  Mobibeam enriches a large variety of use cases including business meetings, brainstorming sessions, telemarketing, lectures and classroom sessions, note-taking, task management and many others. Founded and headquartered in Krakow, Mobibeam is fueled by highly motivated and talented people. As of 2014, Mobibeam launched into private beta.",http://www.mobibeam.com,"Collaboration, File Sharing, Mobile, Presentations, Software","Kraków, Malopolskie, Poland",Mobibeam is a software application that makes files accessible from multiple linked devices.,"291,478",,,,,,,,,,,,
Notism,https://www.crunchbase.com/organization/notismapp,2013-06-03,day,1-10,"Notism - Visual feedback, Prototyping & Workflow for creative teams Notism is a design & video collaboration platform for creative teams where users can share, discuss and review creative work in a simple, effective and streamlined manner. You can also turn static screens into interactive prototypes for web & mobile projects, add to-dos to your co-workers and boost up your design workflow.  Who is Notism for?  All the way from UX people, designers, IT, copywriter, project managers to ad agencies, print or logo designers.",http://www.notism.io,"Collaboration, Software","Hamburg, Hamburg, Germany",Design Collaboration & Prototyping Tool,"522,412","2,330",,204.58%,-95.26%,0,1,-48.79%,100%,"1,600.68%","4,830,764","-2,620,171",-35.17%
Inventure Cloud,https://www.crunchbase.com/organization/inventurecloud,2013-06-01,month,1-10,Inventure Cloud is an online crowdfunding platform that enables consumers to submit their ideas about the products they want. The platform provides a new experience to the consumers by engaging them in the creation of their favorite products. Inventure Cloud launches crowdfunding campaigns for the products and manufactures them after the projects get the community and the experts’ validation. The platform pays royalties to the creator of the project for every unit funded.,http://inventurecloud.com,"Collaboration, Crowdfunding, E-Commerce, Financial Services, FinTech, Funding Platform","Valencia, Comunidad Valenciana, Spain",Inventure Cloud is an online collaboration and invention platform enabling consumers to submit their ideas and get them crowdfunded.,"226,162",,,,,,,,,,,,
Gladys,https://www.crunchbase.com/organization/gladys,2013-06-01,month,11-50,"Gladys is a collaborative project management software combining productive and creative features.  This all-in-one solution is the easiest way to track your project and make teamwork more efficient. Create your workspace and get your project done ! With Gladys workspaces, you can easily communicate, organize and collaborate on tasks, files, calendars, video conversations. On top of that, the portfolio management feature simplifies the way to manage your business. The PREMIUM plan enables any team to access to the best and complete productivity tools such as project dashboard, resource management system, time tracking, etc… Innovation management to go beyond typical PM software ! Gladys digital workplace enables collaborative intelligence and makes idea management available for all teams. You can centralize your innovation process from idea to experimentation by sharing your inspirations, collecting and evaluating ideas and transform them into an innovative project. Gladys for BUSINESS, a program that fits your business transformation needs Thanks to the Customer Success Program, Gladys team can adapt its collaborative solution to fit the digital transformation challenge of your company. https://gladys.com",https://gladys.com,"Apps, Collaboration, Human Resources, Information Technology, Innovation Management, Internet, Project Management, SaaS, Social Media, Software","Vertou, Pays de la Loire, France",Gladys is a collaborative project management software combining productive and creative features. ,"232,532","6,297","8,878.67",-1.05%,29.73%,846,7.53,653.33%,46.67%,-53.33%,"3,088,208","318,710",11.51%
