Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Kearney,https://www.crunchbase.com/organization/a-t-kearney,1926-01-01,year,1001-5000,"Whether the focus is on strategy or operations, on organizational change or strategic business technology, AT Kearney helps clients improve their products and services, their business relationships, and their bottom line economics.",https://www.kearney.com/,"Collaboration, Consulting, Information Technology, Management Consulting","Chicago, Illinois, United States",Kearney is a management consulting firm offering solutions to strategic and operational CEO agenda issues.,"113,482","423,248","291,139",124.13%,42.6%,"1,801",7.07,48.98%,49.84%,-14.95%,"204,418","-140,143",-40.67%
Insurance Professionals of Albany,https://www.crunchbase.com/organization/insurance-professionals-of-albany,1941-01-01,year,1-10,,http://www.insuranceprofessionalsofalbany.com/,"Association, Collaboration, Insurance, Professional Networking","Albany, New York, United States","Insurance Professionals of Albany is an association that provides education, support, training, and collab opportunities for the practice.","2,182,309",,,,,,,,,,,,
SMACNA,https://www.crunchbase.com/organization/smacna,1943-01-01,year,11-50,,https://www.smacna.org/,"Association, Collaboration, Construction, Mechanical Engineering, Professional Networking","Chantilly, Virginia, United States","SMACNA is an association of contractors that provides construction & training standards, collab & networking opportunities.","585,875","15,202","10,248.5",13.21%,103.11%,327,5.63,143.62%,37.4%,-37.66%,"1,768,806","-70,448",-3.83%
Lindquist Machine Corporation,https://www.crunchbase.com/organization/lindquist-machine-corporation,1946-01-01,year,51-100,"Lindquist Machine Corporation builds world-class machines under ISO 9001:2000. LMC provides turnkey machine building services to the following industries: automation, converting, food processing, packaging, paper, pharmaceutical, plastics, printing, and machine tools. Their role is to help identify market opportunities and provide business solutions by leveraging their knowledge and experience. Strong business relationships are the result of mutual respect, trust, and accountability among their team members. They can create sustainable competitive advantages in their marketplace if they work together there. It aims to exceed its customers' expectations in five key areas of machine building: quality, value, communication, speed, and flexibility. After each major project, each customer reviews their performance in these key areas and provides valuable insight into the continuous improvement process.",https://www.lmc-corp.com/,"Collaboration, Industrial Automation, Manufacturing","Green Bay, Wisconsin, United States",Lindquist Machine Corporation develops cost-effective solutions that solve complex manufacturing challenges.,"407,340",713,,199.58%,,0,1,-50%,100%,,"7,638,271","-1,826,764",-19.3%
Chambre Belge Des Traducteurs Et Interpretes,https://www.crunchbase.com/organization/chambre-belge-des-traducteurs-et-interpretes,1954-12-31,day,251-500,,http://www.cbtip-bkvtf.org,"Collaboration, Publishing, Translation Service","Brussels, Brussels Hoofdstedelijk Gewest, Belgium","CBTI offers translation and interpretation services including publications, and collaboration with interprofessional federations.","2,138,961",,,,,,,,,,,,
Deeson,https://www.crunchbase.com/organization/deeson,1959-01-01,year,11-50,"Deeson They  believe in fostering open data, open source and open communities. They  are leading contributors to the Drupal community, the UK digital community and run Their own open events. But, They’ve not always been about digital. Deeson was founded in 1959 and Their first project back then was a magazine for Diners Club International customers. The world’s changed a lot since then and so have They. They're ISO9001 accredited and They hold the highest Government Cyber Essentials PLUS security accreditation.",https://www.deeson.co.uk/,"Collaboration, Software Engineering","London, England, United Kingdom","Deeson Creative, UX, Drupal and WordPress open source agency. Exploring the future of open organisations with our team and clients.","391,153","3,075","2,261.17",-42.12%,-75.7%,384,1.55,-34.58%,72.64%,128.64%,"4,264,532","954,418",28.83%
National Guard Association of Texas,https://www.crunchbase.com/organization/national-guard-association-of-texas,1959-01-01,year,11-50,"The National Guard Association of Texas was founded by a group of warrant officers on the principle that it is important to have an organization speak out for the national guard and its members. NGAT is a non-profit with a membership of over 32,000 current, former, and retired texas military department members.",https://ngat.org,"Association, Collaboration, Government, Military, Non Profit","Austin, Texas, United States",National Guard Association of Texas is a nonprofit veterans organization.,"1,855,761",,,,,,,,,,,,
NCAR,https://www.crunchbase.com/organization/ncar,1960-01-01,year,501-1000,"The National Center for Atmospheric Research (NCAR) is a federally funded research and development center devoted to service, research and education in the atmospheric and related sciences. NCAR’s mission is to understand the behavior of the atmosphere and related physical, biological and social systems; to support, enhance and extend the capabilities of the university community and the broader scientific community – nationally and internationally; and to foster transfer of knowledge and technology for the betterment of life on Earth. The National Science Foundation is NCAR's primary sponsor, with significant additional support provided by other U.S. government agencies, other national governments and the private sector.",http://ncar.ucar.edu/,"Collaboration, Communities, Education","Boulder, Colorado, United States",The National Center for Atmospheric Research (NCAR) is a federally funded research and development center devoted to service.,"1,030,376",,,,,,,,,,,,
Princeton Plasma Physics Lab - PPPL,https://www.crunchbase.com/organization/princeton-plasma-physics-lab,1961-01-01,year,251-500,"The U.S. Department of Energy’s Princeton Plasma Physics Laboratory (PPPL) is a collaborative national center for fusion energy research. The Laboratory advances the coupled fields of fusion energy and plasma physics research, and, with collaborators, is developing the scientific understanding and key innovations needed to realize fusion as an energy source for the world. An associated mission is providing the highest quality of scientific education. The Princeton Plasma Physics Laboratory is a world-class fusion energy research laboratory dedicated to developing the scientific and technological knowledge base for fusion energy as a safe, economical and environmentally attractive energy source for the world’s long-term energy requirements.",http://www.pppl.gov/,"Collaboration, Education, Energy","Princeton, New Jersey, United States",The U.S. Department of Energy’s Princeton Plasma Physics Laboratory (PPPL) is a collaborative national center for fusion energy research.,"423,230","25,965","44,547.17",-43.89%,302.13%,567,2.34,22.43%,72.32%,30.12%,"1,310,860","425,882",48.12%
Durante,https://www.crunchbase.com/organization/durante,1962-01-01,year,101-250,,https://www.durante.it,"Collaboration, Information Technology, Video Conferencing, Virtual Workforce","Cormano, Lombardia, Italy","Durante offers unified communications, cloud collaboration, system integration, video conference, and workspace management services.","947,587","53,778","60,786.67",855.54%,104.6%,534,3.8,22.74%,38%,-53.96%,"826,071","-2,253,570",-73.18%
Boulder Chorale,https://www.crunchbase.com/organization/boulder-chorale,1966-01-01,year,1-10,,https://boulderchorale.org/,"Collaboration, Education, Music, Non Profit","Boulder, Colorado, United States","Boulder Chorale has been a source of musical inspiration, education, and collaboration within the Boulder community.","1,581,881","1,360",,-3.41%,,0,1,0%,100%,0%,"6,454,095","333,965",5.46%
Terumo BCT,https://www.crunchbase.com/organization/terumo-bct,1967-01-01,year,1001-5000,"As a global leader in blood component, therapeutic apheresis and cellular technologies, They believe in the potential of blood to do even more for patients than it does today. This belief inspires their innovation and strengthens their collaboration with customers. Working together with their customers, they can make safer, higher-quality transfusions available to more people. They can bring even more treatment options to patients through advanced blood therapies. And they can make the dream of new, cutting-edge blood and cell therapies the new standard of care. Their work has the potential to fundamentally improve health care.",https://www.terumobct.com,Collaboration,"Lakewood, Colorado, United States",Terumo BCT develops and provides blood component and cellular technologies.,"195,224","46,039","37,045.83",20.69%,-37.76%,61,1.84,2.79%,79.65%,49.8%,"909,817","-86,711",-8.7%
Telindus,https://www.crunchbase.com/organization/telindus,1969-01-01,year,5001-10000,"Your complete ICT infrastructure solution provider We understand the ICT challenges you’re facing. And we have the experience, expertise and stability to help you turn these obstacles into opportunities. Productivity. Mobility. Efficiency. Compliance. Security. These are the big issues that we all face in the networked world. We can help you meet these challenges and gain a competitive advantage - realising savings, elevating your service and empowering your customers. As an ICT service provider, we design, build and deploy scalable, flexible and resilient network infrastructure. We bring you deep knowledge and local agility. All underpinned by the financial strength, stability and international reach of our parent company, Belgacom Group - one of the world’s leading telecommunications organisations. It's a robust combination enabling us to tailor solutions for ICT service providers. And enabling you to get the most from your infrastructure to deliver market-leading propositions and service. Here's what makes us different.",https://www.telindus.lu,"Collaboration, Information Services, Information Technology","Camberley, Surrey, United Kingdom",Telindus is responsible for the Belgacom Group's ICT activities.,"276,728","105,438","91,394.5","7,325.21%",442.57%,803,3.36,-0.59%,34.32%,81.2%,"529,881","-5,565,271",-91.31%
J B Communications,https://www.crunchbase.com/organization/j-b-communications,1969-01-01,day,11-50,JB Communications is a communications company that delivers message across media and platforms.,https://jbcommunications.co.uk/,"Collaboration, Information Technology, Video","London, England, United Kingdom",JB Communications is a communications company that delivers message across media and platforms.,"877,036",,,,,,,,,,,,
GS1 US,https://www.crunchbase.com/organization/gs1-us,1971-01-01,year,251-500,,http://www.gs1us.org/,"Collaboration, Non Profit, Online Forums","Lawrenceville, New Jersey, United States",GS1 US is a membership organization facilitating millions of businesses and over 25 industries in the use and adoption of GS1 Standards.,"256,857","560,220","419,260",7.19%,-13.57%,363,3.78,20.31%,49.26%,6.03%,"167,716","-2,284",-1.34%
Actis Technologies Pvt. Ltd,https://www.crunchbase.com/organization/actis-technologies-pvt-ltd,1971-01-01,year,101-250,"Established in 1971, Actis specializes in designing and building infrastructure for better management of collaboration, client engagement, training, entertainment and energy utilization.  Actis began with building projectors and editing equipment in the 70’s and 80s, dominated the AV space in India with Multimedia projectors in the late 90s, and introduced Video Conferencing, Collaboration and AV integration solutions in the 2000s. Actis employs around 250 people across the country including some of the most experienced integration specialists in the industry. Actis custom-builds solutions for a wide range of Corporate, Government, Education, Hospitality and Residential applications. Today, Actis is committed to helping clients achieve greater productivity and comfort by improving their quality of collaboration at work and enhancing their quality of life at home. The company has added Unified Communications, Lighting Fixtures and Energy Management to its range of services as it enters the intelligent infrastructure and building management segments.",https://www.actis.co.in/,"Collaboration, Digital Entertainment, Lighting, Video","Mumbai, Maharashtra, India","Actis Technologies designs and develops presentation, video collaboration, environment control, and digital entertainment solutions.","324,336","3,186","2,720.5",-30.22%,41.77%,336,1.69,17.81%,53.8%,-29.4%,"4,173,987","634,063",17.91%
Aptos,https://www.crunchbase.com/organization/aptos,1972-01-01,year,501-1000,"Aptos empowers retailers to engage customers differently with personalized, efficient and seamless experiences. Aptos’ Singular Commerce Platform unifies the entire retail enterprise to enable over 1,000 retail brands to deliver the informed, empowered and seamless omni-channel shopping experiences that their customers demand.",https://www.aptos.com/,"Collaboration, Consumer, Retail","Atlanta, Georgia, United States","Aptos empowers retailers to engage customers differently with personalized, efficient and seamless experiences.","13,327","18,072","33,483.33",-55.41%,3.33%,217,3.25,71.17%,57.26%,8.55%,"1,604,397","644,486",67.14%
"Avitru, LLC",https://www.crunchbase.com/organization/avitru-llc,1972-01-01,year,51-100,"From conception to construction, AVITRU empowers architects, engineers, contractors and owners to make better, faster decisions. As the developer of MasterSpec®, the most trusted and comprehensive master guide specification system in the AECO industry, Avitru has leveraged its position in the market to launch a cloud-based software platform that enables the collaborative exchange of expert knowledge to design, build, and operate a better built environment. With some of the most highly regarded experts in the industry, the Avitru team is committed to construct a world where better building leads to better lives.",https://www.avitru.com/,"Collaboration, Computer, Software","Salt Lake City, Utah, United States", Software platform for AECO's - Developer of MasterSpec.,"400,054","1,611",,-55.45%,-91.23%,5,2.5,42.87%,0%,,"5,995,934","2,108,834",54.25%
Aspect Software,https://www.crunchbase.com/organization/aspect-software,1973-05-01,day,1001-5000,"Aspect looks to enable organizations to turn the potential of unified communications into real business results, through enhanced knowledge worker and agent productivity and by helping optimize business processes throughout the enterprise and contact center for improved agility and responsiveness.  Aspect provides these capabilities by leveraging Microsoft unified communications like Microsoft Active Directory, Microsoft Exchange and Microsoft Office Communications Server 2007.",http://www.aspect.com,"Call Center, Collaboration, Customer Service, Enterprise Software, Software, Telecommunications","Chelmsford, Massachusetts, United States",Aspect Software is a Communications Software Provider.,"133,605","21,025","11,616.67",33.47%,-14.88%,246,1.73,-11.07%,64.01%,37.48%,"1,476,714","-219,455",-12.94%
West County Community Services,https://www.crunchbase.com/organization/west-county-community-services,1974-01-01,year,11-50,"West County Community provides opportunities for all youth, adults, families, and seniors to be resilient, emotionally healthy, and self-sufficient. The company values collaboration, compassion, and support for children through peer-based mental health support centers and therapists.",https://www.westcountyservices.org/,"Collaboration, Consulting, Employment, Health Care, Risk Management","Guerneville, California, United States","West County Community Services provides senior, employment, housing, youth programs, and behavioral health and crisis counseling services.","665,684","1,556",,-0.06%,,0,1,0%,100%,0%,"6,084,732","280,757",4.84%
ODPHP,https://www.crunchbase.com/organization/odphp,1976-01-01,day,51-100,,http://www.health.gov,"Collaboration, Education, Health Care","New York, New York, United States","ODPHP offers public health services, goals, supporting programs and education activities.","501,525","1,321,318","731,920",90.25%,81.14%,509,1.88,12.64%,77.86%,-2.93%,"89,147","-49,415",-35.66%
MicroAge,https://www.crunchbase.com/organization/microage,1976-01-01,year,101-250,"MicroAge is a technology service and solutions company. It has evolved from a value-added reseller to a digital transformation company providing breakthrough cloud, collaboration, and managed services and high-performance technologies.",https://microage.com,"Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Security, Collaboration, Consulting, Cyber Security, Data Center, Information Technology, Network Security","Tempe, Arizona, United States","MicroAge is a technology services and solutions company, providing cloud, collaboration, managed services, and data center technologies.","509,009","43,037","11,696.83",902.73%,"6,104.26%","2,916",1.73,28.41%,67.12%,-18.96%,"1,014,011","-2,624,816",-72.13%
First District RESA,https://www.crunchbase.com/organization/first-district-resa,1976-01-01,year,101-250,,https://www.fdresa.org/,"Business Development, Collaboration, Education, Government, Non Profit","Brooklet, Georgia, United States",First District RESA is an educational support provider for continuous school improvement through professional and educational development.,"589,271",,,,,,,,,,,,
Incrius,https://www.crunchbase.com/organization/incrius,1978-01-01,year,11-50,"Incrius NV is an IT cloud & hybrid solution, that provides, security, cloud, continuity, analysis, reliability, consultancy, digital workplace, and collaboration services.",https://www.incrius.be/,"Cloud Management, Collaboration, Consulting, Cyber Security, Information Services, Security","Laarne, Oost-Vlaanderen, Belgium","Incrius is an IT sparring partner for its customers, that provides cloud & hybride solutions, cyber ​​security, and reliability.","853,522",578,,110.18%,,0,1,-85.71%,100%,,"8,017,996","-1,244,545",-13.44%
Pittsburgh Leadership Foundation,https://www.crunchbase.com/organization/pittsburgh-leadership-foundation,1978-01-01,year,1-10,,https://plf.org/,"Collaboration, Management Consulting, Non Profit","Oakmont, Pennsylvania, United States",Pittsburgh Leadership Foundation is a worldwide group of organizations developing leaders for better experiences in the cities.,"1,442,484",,,,,,,,,,,,
Dell EMC,https://www.crunchbase.com/organization/emc,1979-01-01,year,10001+,"Dell EMC is a part of the Dell Technologies family of brands.  Dell Technologies is a unique family of businesses that provides the essential infrastructure for organizations to build their digital future, transform IT and protect their most important asset: information. The company services customers of all sizes across 180 countries – ranging from 98 percent of the Fortune 500 to individual consumers – with the industry's most comprehensive and innovative portfolio from the edge to the core to the cloud. Dell EMC is a global leader in enabling businesses and service providers to transform their operations and deliver information technology as a service (ITaaS). Fundamental to this transformation is cloud computing. Through innovative products and services, Dell EMC accelerates the journey to cloud computing, helping IT departments to store, manage, protect and analyze their most valuable asset — information — in a more agile, trusted and cost-efficient way. Dell EMC is a manufacturer of software and systems for information management and storage. Dell EMC produces a range of enterprise storage products, including hardware disk arrays and storage management software. Its flagship product, the Symmetrix, is the foundation of storage networks in many large data centers.",https://www.dellemc.com,"Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Collaboration, Data Storage, IT Infrastructure, Software, Virtualization","Hopkinton, Massachusetts, United States",DEll EMC manufactures information management and storage software systems.,"109,643","638,089","548,797",61.94%,-50%,263,1.36,2.9%,89.51%,1.5%,"152,669","-54,518",-26.31%
Novell,https://www.crunchbase.com/organization/novell,1979-01-01,year,1001-5000,"Novell engages in the development and integration of mixed information technology environments worldwide. The company operates in four segments: Open Platform Solutions, Identity and Security Management, Systems and Resource Management, and Workgroup.  The Open Platform Solutions segment delivers Linux solutions for the enterprises. Its products include SUSE Linux Enterprise Server, an open source server operating system for professional deployment in heterogeneous IT environments; SUSE Linux Enterprise Desktop, a business desktop product that brings together the Linux operating environment with various business applications; openSUSE, a home computing product; and SUSE Engineering, a product development work for its customers.  The Identity and Security Management segment integrates, secures, and manages IT assets. Its product line comprises Identity Manager, a data-sharing and synchronization solution; Access Manager that simplifies and safeguards online asset-sharing; SecureLogin, a directory-integrated authentication solution; Sentinel that automates the monitoring of IT effectiveness; Novell eDirectory; and Compliance Management Platform.  The Systems and Resource Management segment offers various products under ZENworks brand that protect the integrity of networks by centralizing, automating, and simplifying network management.  The Workgroup segment provides workgroup solutions that offer infrastructure, services, and tools, which customers require to collaborate across various devices. Novell, Inc. also provides various professional, technical support, and training services.",http://www.novell.com,"Collaboration, Enterprise Software, Information Technology","Provo, Utah, United States","Novell provides identity and security management, systems and resource management and open platform solutions.","206,490","61,970","79,617.83",30.22%,235.19%,181,1.96,24.71%,53.44%,-14.65%,"753,124","-116,222",-13.37%
Southeastern Universities Research Association,https://www.crunchbase.com/organization/southeastern-universities-research-association,1980-01-01,year,11-50,,https://www6.sura.org/,"Association, Collaboration, Education, Non Profit","Washington, District of Columbia, United States",Southeastern Universities Research Association offers collaborative education and research on scientific and industrial innovations.,"1,515,244",,,,,,,,,,,,
SERFICOIN,https://www.crunchbase.com/organization/serficoin,1980-01-01,year,1-10,,http://www.serficoin.com,"Collaboration, Consulting, Outsourcing","Madrid, Madrid, Spain","Serficoin offers a variety of services, such as outsourcing/collaboration, HR consultancy and accounting consulting.","2,213,392",,,,,,,,,,,,
Health Professionals and Allied Employees,https://www.crunchbase.com/organization/health-professionals-and-allied-employees,1981-01-01,year,11-50,"Health Professionals and Allied Employees provides a union of health care providers. They provide services to registered nurses and healthcare professionals. Furthermore, They represent nurses, social workers, therapists, technicians, medical researchers, and other healthcare professionals in hospitals, nursing homes, home care agencies, and universities.",https://www.hpae.org,"Association, Collaboration, Employee Benefits, Health Care, Hospital, Wellness","Emerson, New Jersey, United States",Health Professionals and Allied Employees is a union of nurses and health care staff.,"1,438,791","10,654","12,701.5",-6.61%,2.84%,290,1.11,-45.76%,88.93%,20.5%,"2,162,382","138,108",6.82%
New Hampshire Destination ImagiNation,https://www.crunchbase.com/organization/new-hampshire-destination-imagination,1981-01-01,year,1-10,,https://www.nh-di.org,"Collaboration, Education, Events, Non Profit","Manchester, Manchester, United Kingdom","New Hampshire Destination ImagiNation ,we offer seven new standards-based Challenges in STEM, Improvisation, Visual Arts, Service Learning.","1,774,844","1,300",,,,0,1,,100%,,"6,570,569",,
RBI,https://www.crunchbase.com/organization/rbi-c42f,1981-01-01,year,51-100,"RBI is a provider of services centered around infrastructure and systems, collaborative solutions, and management solutions. It specializes in designing, implementation, and integrating information systems.",http://www.rbi-informatique.fr/,"Collaboration, Data Integration, Information Services, IT Infrastructure","Rennes, Bretagne, France","RBI is a provider of services centered around infrastructure and systems, collaborative solutions, and management solutions.","2,189,556",,,,,,,,,,,,
Lotus Development Corporation,https://www.crunchbase.com/organization/lotus-development-corporation,1982-01-01,year,10001+,"Lotus Software (called Lotus Development Corporation before its acquisition by IBM) is a software company with headquarters in Westford, Massachusetts. Lotus is most commonly known for the Lotus 1-2-3 spreadsheet application, the first feature-heavy, user friendly, reliable and WYSIWYG-enabled product to become widely available in the early days of the IBM PC, when there was no Graphical User Interface. Such a useful tool certainly helped to spread the adoption of the PC, both for administrative and scientific applications. Much later, in conjunction with Ray Ozzie's Iris Associates, Lotus also released a groupware and email system, Lotus Notes. IBM purchased the company in 1995 for $3.5 billion, primarily to acquire Lotus Notes and to establish a presence in the increasingly important client-server computing segment, which was rapidly making host-based products like IBM's OfficeVision obsolete. [Source: Wikipedia](http://en.wikipedia.org/wiki/Lotus_Development_Corporation), accessed 2/12/10.",http://www.lotus.com,"Collaboration, Enterprise Software, Software","New York, New York, United States",Lotus Software is a software company specialized in Lotus 1-2-3 spreadsheet application.,"146,022","1,415",,-53.67%,,0,1,-54.62%,100%,282.7%,"6,352,971","2,169,965",51.88%
Prohaska & Company,https://www.crunchbase.com/organization/prohaska-company,1982-01-01,day,1-10,,https://www.prohaskaadvertising.com,"Advertising, Collaboration, Marketing","East Brunswick, New Jersey, United States","Prohaska & Company offers marketing communications, multimedia, print production, and strategic planning services.","1,409,563",,,,,,,,,,,,
MatrixOne,https://www.crunchbase.com/organization/matrixone-2,1983-01-01,day,1-10,"MatrixOne (NASDAQ: MONE) is a recognized leader in delivering collaborative product lifecycle management solutions. Together with their partners, they enable companies from a broad range of industries to dramatically accelerate innovation, time-to-market, and revenue by collaboratively developing, building, and managing products. Their solutions facilitate the sharing of concepts, content, and context across product lifecycles and throughout value chains of employees, customers, suppliers, and partners. Customer success is the cornerstone of MatrixOne. Industry leaders such as adidas-Salomon, Agilent, Autoliv, Boeing, Celestica, Eaton, General Electric, Honda, Honeywell, Johnson Controls, Nokia, Philips, Porsche, Procter and Gamble, Shanghai Bell, Toshiba, and Yazaki trust their solutions to help them deliver the right products at the right time at the right cost.",http://www.matrixone.com/,"Collaboration, Enterprise Software, Information Technology, Manufacturing","Westford, Massachusetts, United States",MatrixOne (NASDAQ: MONE) is a recognized leader in delivering collaborative product lifecycle management solutions.,"354,968",,,,,,,,,,,,
GTS Services,https://www.crunchbase.com/organization/gts-services,1983-01-01,year,11-50,"GTS Services, LLC develops business management software solutions for companies in the auto glass and flat glass industries.  GlasPacLX is the leading software for the glass industry. It’s a point of sale and shop management system for auto and/or flat glass businesses that makes every step in their job cycle, from quoting to invoicing, more efficient and easier to manage.",http://www.gtsservices.com,"Collaboration, Information Technology, Insurance, Point of Sale, Software","Portland, Oregon, United States",GTS Services is a computer software company that offers point of sale software and business reporting software.,"369,293","5,406","4,089.33",-55.24%,-99.39%,6,2,-31.4%,0%,-21.82%,"3,332,873","1,378,876",70.57%
