Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Solvians,https://www.crunchbase.com/organization/solvians,,"Cloud Data Services, Information Technology, Web Apps",http://www.solvians.com,"Frankfurt, Hessen, Germany","Solvians is an IT solutions firm that develops web apps, websites, infrastructure, business advisory, calculation, and data services.","241,984","1,318,847","346,222.17","107,210.58%","1,145.83%","2,392",8.82,191.14%,5.92%,-81.72%,"89,269","-6,497,655",-98.64%,European Union (EU),Active,2006-01-01,day,,11-50,,,,3990202,USD,3990202
Devart,https://www.crunchbase.com/organization/devart,"Founded in 1997, Devart now has a huge experience in developing database tools and native data access solutions for different database servers with headquarters situated in Czech Republic and research and development centers - in Ukraine. Devart has more than 40 000 customers including Fortune 100 and Fortune 500 companies, governmental agencies, educational and scientific institutions, freelancers and private individuals.  We actively cooperate with the key market shapers. Specifically, Devart is a Microsoft Silver Application Development Partner and a Silver Partner in the Oracle Partner Network (OPN) Specialized program. Striving to keep in touch with the professional community, Devart supports and participates in various events and professional gatherings, including conferences, exhibitions, and user-group meetings.","Cloud Data Services, Data Integration, Database, Developer Tools, Hardware, Productivity Tools, Software",http://www.devart.com,"Prague, Hlavni mesto Praha, Czech Republic",Devart is one of the leading developers of database tools and administration software,"135,096","1,174,272","772,046.5",23.42%,190.12%,"1,233",1.61,-8.54%,75.78%,9.02%,"97,380","-12,648",-11.5%,European Union (EU),Active,1997-01-01,year,,101-250,,39,"13,382",,,
PipeChain,https://www.crunchbase.com/organization/pipechain,,"Automotive, Cloud Data Services, Health Care, Supply Chain Management",http://www.pipechain.com,"Lund, Skane Lan, Sweden","PipeChain is an IT firm that offers cloud solutions, supply chain solutions for automotive, health care, and construction industry.","585,383","1,125,789",,"14,539.65%",155.12%,"2,018",2.34,23.32%,37.14%,-38.1%,"100,517","-2,399,602",-95.98%,"European Union (EU), Nordic Countries, Scandinavia",Active,1999-01-01,day,,11-50,,,,,,
Quipu,https://www.crunchbase.com/organization/quipu-408f,,"Banking, Cloud Data Services, Cloud Infrastructure, Payments, Software",https://www.quipu.de/,"Frankfurt, Hessen, Germany","Quipu is an IT consulting and services firm that specializes in cloud infrastructure, banking software, and card payments.","790,557","1,083,977","366,068.5",313.68%,34.26%,"1,160",2.9,7.44%,35.25%,26.07%,"100,066","-160,197",-61.55%,European Union (EU),Active,2004-01-01,year,,251-500,,10,"1,021",,,
Bolt Engine AB,https://www.crunchbase.com/organization/bolt-engine-ab,,"Cloud Data Services, Gaming, Software, Web Apps",https://www.photonengine.com/bolt,"Skene, Vastra Gotaland, Sweden",Photon is a multiplayer engine and cloud. Photon is powering multiplayer games and apps made by countless top studios.,"479,010","688,546","395,329.5",102.55%,-11.36%,515,2.66,-40.12%,50.84%,7.71%,"144,354","-85,532",-37.21%,"European Union (EU), Nordic Countries, Scandinavia",Active,2003-01-01,day,,1-10,,,,,,
Zen Internet,https://www.crunchbase.com/organization/zen-internet,"Over the last 20 years, Zen Internet has grown from a pioneering ISP into a company that provides the full range of data, voice and hosting services to business and residential customers across the UK, giving them the capabilities they need to communicate, collaborate and pursue their long-term goals. We deliver the infrastructure businesses need to compete in a highly connected world.","Cloud Data Services, Data Center, Internet",https://www.zen.co.uk/,"Rochdale, Rochdale, United Kingdom",Zen Internet is an Internet Service Providers in the UK.,"43,814","676,730","657,907.17",25.31%,-8.1%,590,1.92,-24.81%,72.71%,19.69%,"141,184","-15,335",-9.8%,,Active,1995-01-01,year,1,251-500,Richard Tang,,,11909600,USD,11909600
Egress Software,https://www.crunchbase.com/organization/egress-software-technologies,Egress is a software company that specializes in human layer security designed to prevent accidental and intentional data breaches. Its mission is to eliminate the greatest risk to every business the insider threat. To achieve this Egress has built the world’s only Human Layer Security platform that empowers your people to remain secure while being highly productive.,"Cloud Data Services, Cyber Security, Email, File Sharing, Security, Software",https://www.egress.com,"London, England, United Kingdom",Egress is a software company that specializes in human layer security designed to prevent accidental and intentional data breaches.,"10,132","661,622","677,172",-4.11%,-28.89%,630,5.41,-4.46%,37.19%,16.73%,"148,678","9,474",6.81%,,Active,2007-10-09,day,3,251-500,"John Goodyear, Neil Larkins, Tony Pepper",4,"7,659",3453101,USD,3453101
temetra,https://www.crunchbase.com/organization/temetra,"Temetra provides web-based meter and sensor management services to utilities and meter network operators. Assists in the collection, storage and analysis of large volumes of data available from advanced metering infrastructure.","Cloud Data Services, Data Visualization",http://www.temetra.com,"Clonmel, Tipperary, Ireland",Temetra provides web-based meter and sensor management services to utilities and meter network operators.,"274,521","597,238","471,933.33",237.62%,27.12%,"2,114",11.41,14.9%,5.42%,-48.63%,"160,184","-199,997",-55.53%,European Union (EU),Active,2002-06-01,day,1,11-50,Paul Barry,,,,,
HRworks,https://www.crunchbase.com/organization/hrworks,"The standard solution for personnel processes - simplifies daily work in human resources departments and accounting departments. HRworks is used internationally and across all industries. The web-based software provides numerous functions in the field of personnel management, travel management, time management and corporate benefits as well as special features for tax saving - all with the objective to create transparency, save time and reduce cost. 1,300 customers with more than 150,000 users rely on HRworks","Business Travel, Cloud Data Services, Human Resources, Information Technology, SaaS, Software",http://www.hrworks.de,"Freiburg, Baden-Wurttemberg, Germany",The SaaS solution for personnel processes - simplifies daily work in human resources departments and accounting departments,"194,555","577,070","606,896.33",-25.53%,23.67%,"1,860",2.96,10.71%,33.41%,-9.68%,"164,319","36,456",28.51%,European Union (EU),Active,1998-01-01,year,1,11-50,Thomas Holzer,,,,,
NetShop Internet Services Ltd,https://www.crunchbase.com/organization/netshop-internet-services,"Since 2004, Netshop ISP has been a privately owned and operated company specializing in Internet hosting solutions. From Shared, Virtual and Dedicated servers to Cloud and Server Collocation Solutions, NetShop has established a solid reputation of offering quality services and bespoke solutions at affordable pricing. Today, Netshop Internet Services Ltd is a leading Web hosting provider & e-Commerce solutions provider in Cyprus and one of the fastest growing providers in Europe. Operating via 3 data centers (Cyprus, Malta, United Kingdom) our aim is constantly to offer unparalleled customer service and implement bespoke solutions that match each individual customer's requirements.","Cloud Data Services, E-Commerce, Gambling, Gaming, Internet, Software, Virtualization, Web Hosting",http://www.netshop-isp.com.cy,"Larnaka, Larnaca, Cyprus",Leading Web Hosting Provider & Web/eCommerce Development Company,"260,666","527,263","122,513.17",213%,44.4%,"3,480",18.02,-0.56%,5.55%,-17.66%,"168,933","-182,612",-51.95%,European Union (EU),Active,2004-07-07,day,1,1-10,Stefano Sordini,,,,,
medatixx,https://www.crunchbase.com/organization/medatixx,,"Cloud Data Services, Medical, Software",https://medatixx.de/start,"Eltville, Hessen, Germany",Medatixx & Co has developed a new tech research solution that works with both cloud and local data storage.,"222,507","300,917","250,821",18.45%,29.07%,586,1.28,-12.2%,78.84%,1.52%,"259,378","-21,944",-7.8%,European Union (EU),Active,2007-01-01,day,,101-250,,,,,,
Trend Micro Incorporated,https://www.crunchbase.com/organization/trend-micro-incorporated,,"Cloud Data Services, Cyber Security, Software",http://www.trendmicro.eu/index.html,"Hallbergmoos, Bayern, Germany","TREND MICRO Deutschland GmbH is a global leader in enterprise data & cybersecurity solutions, data centers and cloud environments Company.","440,722","283,620","241,701.83",-15.74%,-84.44%,40,2.39,-17.24%,24.7%,117.05%,"270,265","38,828",16.78%,European Union (EU),Active,1996-01-01,day,,51-100,,,,,,
Mira Network,https://www.crunchbase.com/organization/mira-network,"Mira Network is a software company, that helps universities, other higher educational institutions and commercial education companies to maximize the value of their external relations, also provide an integrated cloud-based CRM system specifically developed for external relations with ready-made modules for alumni relations, fundraising, career service, corporate relations, continuous education and commercial education.","Cloud Data Services, CRM, Education, Information Technology, Software, Training",https://www.mira.se/,"Stockholm, Stockholms Lan, Sweden",Mira Network provides CRM solutions for external relations for higher education and commercial education.,"839,416","278,850","51,468.83","29,068.41%","1,561.36%",731,1.99,-0.49%,20.7%,-58.6%,"263,724","-6,233,073",-95.94%,"European Union (EU), Nordic Countries, Scandinavia",Active,1998-01-01,year,,11-50,,,,,,
OVH Telecom,https://www.crunchbase.com/organization/ovh-telecom,,"Cloud Data Services, Data Storage, Internet, Web Hosting",https://www.ovhtelecom.fr,"Roubaix, Nord-Pas-de-Calais, France","OVH Telecom is a global hyper-scale cloud innovative services provider focusing on private, public, hybrid cloud and bare metal.","490,792","242,962","144,500.67",196.62%,-1.55%,444,1.91,-2.72%,56.67%,-6.22%,"300,713","-304,961",-50.35%,European Union (EU),Active,1999-01-01,year,,1001-5000,,,,,,
Cloud Direct,https://www.crunchbase.com/organization/cloud-direct,Cloud Direct their cloud migration assessment will allow our business to align with Microsoft's framework and cloud adoption.,"Cloud Computing, Cloud Data Services, Information Services, Service Industry, Software",http://clouddirect.net,"Reading, Reading, United Kingdom",Cloud Direct Provides Cloud Services.,"74,573","217,872","149,106.67",195.2%,-78.53%,111,1.11,4.93%,92.52%,-3.08%,"323,795","-325,130",-50.1%,,Active,2003-01-01,year,1,51-100,Brett Raynes,,,,,
Cloudbizz,https://www.crunchbase.com/organization/cloudbizz,,"Cloud Data Services, Information Technology, Technical Support",https://cloudbizz.com,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Cloudbizz is an IT solution firm that offers secure cloud and data center services for businesses.,"1,041,632","211,334","75,035.83",445.24%,-43.14%,199,5.61,-1.77%,4.79%,-23.36%,"330,766","-656,208",-66.49%,European Union (EU),Active,2004-01-01,year,,11-50,,,,,,
AZYLIS,https://www.crunchbase.com/organization/azylis,"AZYLIS optimizes all equipment and monitors the quality of internet connections in real-time, thus ensuring the best broadband and optimal security for cloud and IP transit. Their network evolves on a daily basis in order to offer the best possible links by interconnecting with the public initiative networks (RIP). Their services network IT, infrastructure solution, backup, and security, cloud, infrastructure, hosting service hosting, virtual office, telecom, VOIP/TOIP solutions copper, links (xDSL, EFM), fiber-optic links.","Cloud Data Services, Cloud Security, Information Technology, IT Infrastructure, IT Management, Optical Communication, Telecommunications",https://www.azylis.net,"Vercel-villedieu-le-camp, Franche-Comte, France",AZYLIS is a fiber internet service provider.,"814,836","211,090",,"10,577.29%",,30,1.1,10%,90%,-10%,"319,352","-4,419,964",-93.26%,European Union (EU),Active,2007-01-01,year,,1-10,,,,,,
Hostsharing,https://www.crunchbase.com/organization/hostsharing-eg,,"Cloud Computing, Cloud Data Services, Internet, Service Industry, Web Hosting",https://www.hostsharing.net/,"Hamburg, Hamburg, Germany","Hostsharing is a cooperative web hosting firm that provides web hosting, shared hosting, cloud computing solutions, and related services","1,738,902","170,688","529,162.33",-91.57%,54.92%,"6,403",12.57,10.91%,4.72%,-52.37%,"368,913","310,992",536.92%,European Union (EU),Active,2000-01-01,year,,11-50,,,,,,
NCE Computer,https://www.crunchbase.com/organization/nce-computer,,"Cloud Data Services, IaaS, Information Technology, SaaS",https://www.nce.de,"Fürth, Bayern, Germany","NCE Computer offers server hosting, SaaS, IaaS, and cloud solutions services.","1,420,706","150,208","442,920.17",-75.54%,22.08%,"1,399",5.52,8.18%,8.07%,16.62%,"416,770","265,331",175.21%,European Union (EU),Active,1995-01-01,year,,11-50,,,,4005102,USD,4005102
NFON,https://www.crunchbase.com/organization/nfon,"NFON is a Munich, Germany-based provider of outsourced telephone systems. nfon's outsourced telephone systems, called IP Centrex, are offered as a complete package from a single source. Operated by a fully redundant, high-performance computer centre and with more than 100 functions, the solution is designed to enable companies of all sizes to save up to 50% percent of the costs for a conventional phone system.","Cloud Data Services, Consulting, Mobile, Telecommunications",https://www.nfon.com/,"Munich, Bayern, Germany",NFON is a provider of cloud-based telephone systems.,"30,974","146,223","161,908",16.99%,-13.19%,586,2.75,2.93%,59.31%,7.93%,"424,517","-31,264",-6.86%,European Union (EU),Active,2007-01-01,year,1,51-100,Marcus Otto,,,,,
CloudBM,https://www.crunchbase.com/organization/cloudbm,,"Cloud Computing, Cloud Data Services, Information Technology, Internet, Software",https://www.cloudbm.com,"Sofia, Grad Sofiya, Bulgaria",CloudBM Web Solutions is a software company exclusively dedicated to cloud-based projects.,"1,680,017","146,165","42,242.83",271.17%,53.51%,852,2.74,22.18%,12.9%,-47.15%,"424,646","-552,160",-56.53%,European Union (EU),Active,2010-01-01,year,,1-10,,,,,,
Hostalia,https://www.crunchbase.com/organization/hostalia,,"Advertising, Cloud Data Services, Email Marketing, SEO",https://www.hostalia.com/,"Irún, Pais Vasco, Spain","Hostalia offers services such as web hosting, cloud seo, email marketing, and online stores.","590,103","136,827","98,006.17",46.49%,12.41%,598,4.18,8.1%,34.05%,-21.38%,"444,341","-110,549",-19.92%,European Union (EU),Active,2001-01-01,day,,11-50,,,,,,
TUXEDO Computers,https://www.crunchbase.com/organization/tuxedo-computers,,"Cloud Data Services, Computer, Hardware, Linux, Software Engineering",https://www.tuxedocomputers.com/,"Augsburg, Bayern, Germany","TUXEDO Computers produces Linux hardware, notebooks, computers, and more.","477,969","101,933","131,092.17",-21.13%,45.19%,604,3.83,3.2%,48.87%,-16.89%,"541,769","96,078",21.56%,European Union (EU),Active,2004-02-01,day,1,51-100,Herbert Feiler,,,,,
NIC.UA,https://www.crunchbase.com/organization/nic-ua,,"Cloud Data Services, Domain Registrar, Web Hosting",http://www.nic.ua,"Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine","NIC.UA offers domain registration, web hosting, trademarks, patents and SSL certificates.","582,607","101,099","68,120.33",47.05%,-36.95%,285,2.71,-40.59%,62.24%,37.43%,"544,671","-136,233",-20.01%,,Active,2007-01-01,day,,11-50,,,,,,
Calinda Software,https://www.crunchbase.com/organization/calinda-software,"Calinda Software is the company behind SELL&SIGN, the next generation cloud digital signature and data certification platform.  	 SELL&SIGN transforms business transactions into powerful and enjoyable user experiences to collect the important business data, build contracts, add appendices and collect legally binding digital signatures to authenticate the data and close the contracts. The secure cloud platform then records the certified documents in a blockchain-like ledger and enables massive automation of business processes based on certified data. SELL&SIGN also provides advanced collaboration features, a legacy of Calinda Software's expertise in the high performance enterprise collaboration business. 	 SELL&SIGN is popular in the sales, HR, IT, legal, marketing and operations departments of companies of all sizes in the life science, real estate, distribution, services, insurance and banking sectors in Europe. 	 Calinda Software was incorporated in 2007 and is headquartered in Marseilles, France. ","Cloud Data Services, E-Signature, SaaS, Sales Automation, Software",https://www.sellandsign.com,"Marseille, Provence-Alpes-Cote d'Azur, France","Calinda Software is the company behind SELL&SIGN, the next generation cloud digital signature and data certification platform","583,826","89,872","82,850",-29.07%,-45.38%,213,2.82,38.84%,43.84%,-10.55%,"570,032","144,286",33.89%,European Union (EU),Active,2007-01-31,day,3,11-50,"Alex Mermod, Chris Guyard, Seb Bassompierre",,,,,
Cosmonova,https://www.crunchbase.com/organization/cosmonova,,"Cloud Data Services, IT Infrastructure, Telecommunications",http://www.cosmonova.net,"Kyiv, Kyyiv, Ukraine","COSMONOVA is an IT solutions firm that offers services like internet, telecom, data center, IT consulting and infrastructure.","438,782","85,001","19,228.83","3,592.48%",-67.35%,16,1.4,-25.74%,59.95%,7.73%,"610,866","-4,138,302",-87.14%,,Active,2002-01-01,day,1,51-100,Maksim Syomochkin,,,,,
Converge Technology Specialists,https://www.crunchbase.com/organization/converge-technology-specialists,"Converge Technology Specialists  is a specialist provider of hosted and managed IT services through private cloud. It provides mission critical managed cloud services to the UK legal sector including Infrastructure as a Service, Hosting, Business Continuity as well as other managed IT and infrastructure services.","Cloud Computing, Cloud Data Services, Cloud Management, Consulting, Information Technology",http://cts.co.uk,"Daresbury, Halton, United Kingdom",Converge Technology Specialists  is a specialist provider of hosted and managed IT services through private cloud.,"148,632","84,140","110,516.67",91.8%,-45.24%,753,5.85,-36.78%,25%,69.26%,"595,115","-265,252",-30.83%,,Active,2006-01-01,year,1,11-50,Nigel Wright,,,,,
Presis,https://www.crunchbase.com/organization/presis-e185,,"Cloud Data Services, E-Commerce, Information Technology, Web Development",http://www.presis.nl,"Maassluis, Zuid-Holland, The Netherlands","Presis is a Google Cloud partner that helps resell Google products, as well as helps build professional websites.","403,606","82,420",,,,958,3.49,,49.3%,,"623,370",,,European Union (EU),Active,2007-12-20,day,,1-10,,,,,,
Specter,https://www.crunchbase.com/organization/specter-87c6,"Specter is a web-based business system, that provides e-commerce services to complete orders, purchases, invoices, inventory management, smart automation integration services. it is a cloud-based saas solution.","Cloud Data Services, E-Commerce, SaaS, Software, Trading Platform",https://www.specter.se,"Skärhamn, Vastra Gotaland, Sweden",Specter provides small and mid-sized businesses with a web-based business system that provides smart solutions.,"234,314","64,125","56,991",113.84%,-10.46%,"1,737",2.84,-36.17%,38.57%,1.98%,"736,275","-422,448",-36.46%,"European Union (EU), Nordic Countries, Scandinavia",Active,2004-01-01,year,,11-50,,,,,,
FacturaDirecta,https://www.crunchbase.com/organization/facturadirecta,"FacturaDirecta is an online billing and accounting program for small businesses and advisors. Entrepreneurs can manage businesses in an easy and fun way. Entrepreneurs can also send invoices, budgets, delivery notes, proforma invoices, customer orders, expenses, orders to suppliers, bank remittances, documents directly by email and many more features without ever losing simplicity, without installing or configuring anything on a computer. FacturaDirecta was founded on 2010 and is based in Barcelona, Spain.","Billing, Cloud Data Services, FinTech, Productivity Tools, SaaS, Software",http://www.facturadirecta.com,"Barcelona, Catalonia, Spain",FacturaDirecta is an online billing and accounting program for small businesses and advisors.,"437,926","62,609","113,560.5",-58.09%,-10.28%,480,4.04,0.92%,44.06%,37.43%,"723,250","342,123",89.77%,European Union (EU),Active,2010-01-01,year,2,1-10,"Jordi Ortega Moré, Ramiro Sánchez",8,"1,161",,,
Imagen,https://www.crunchbase.com/organization/cambridge-imaging-systems-ltd,"Imagen Ltd is a modular enterprise video platform that enables content owners to publish and monetize small and large-scale media archives. It helps companies of all sizes and industries to manage, search and distribute their media libraries securely. Imagen Ltd was launched in 1996 and is based in Cambridge, Cambridgeshire.","Cloud Data Services, Cyber Security, Information Technology, Video, Web Development",http://www.imagen.io,"Cambridge, Cambridgeshire, United Kingdom",Imagen Ltd is a modular enterprise video platform that enables content owners to publish and monetize media archives.,"28,155","60,531","62,926.5",98.29%,15.87%,73,1.44,11.52%,70.21%,-22.62%,"739,427","-342,619",-31.66%,,Active,1996-02-01,day,2,11-50,"Paul McConkey, Tony Blake",,,,,
