Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Evidencio,https://www.crunchbase.com/organization/evidencio,"Evidencio is a cloud platform making medical prediction models (MPM's) discoverable, transparent, useable and available. Regardless of the nature of an MPM, from classical regression models to AI implementations, the Evidencio platform can make it available for everyday decision support, shared decision making and validation. Evidencio also assists clinicians and researchers in discovering, developing and deploying new medical prediction models in existing datasets based on the latest developments and tools for machine learning and AI. Discover Evidencio for yourself at: https://www.evidencio.com","Artificial Intelligence, Cloud Computing, Health Care, Machine Learning, Medical, Predictive Analytics",https://www.evidencio.com,"Haaksbergen, Overijssel, The Netherlands",Medical Decision Support based on Medical Prediction Models & AI,"739,374","204,497","264,422.33","1,353.43%","10,283.33%","2,492",10.32,904.45%,33.6%,-65.88%,"338,203","-1,458,026",-81.17%,European Union (EU),Active,2015-01-05,day,2,1-10,"Rick Pleijhuis, Rob Mentink",,,,,
NV Play,https://www.crunchbase.com/organization/nv-play,,"Cloud Computing, Cricket, Sports",https://www.nvplay.com/,"Canterbury, Kent, United Kingdom","NV Play redefines the professional & recreational game of cricket through proven technology, passion for sport in particular, cricket.","914,231","176,778","208,253.5",-39.48%,"1,514.38%","2,583",1.2,-5.84%,92.28%,6.98%,"373,509","118,176",46.28%,,Active,2017-01-01,year,,11-50,,,,,,
ScreenCloud,https://www.crunchbase.com/organization/screencloud,"ScreenCloud's digital signage software makes it easier than ever for you to put meaningful content on any screen, in any location. Use it to control one screen, or a thousand, from anywhere in the world.","Cloud Computing, Digital Signage, SaaS, Software",https://screencloud.com,"London, England, United Kingdom",We're helping companies to realize the potential of the screens around them.,"36,175","175,736","128,488.33",76.44%,91.67%,483,2.25,-4.41%,61.54%,28.99%,"361,833","-137,971",-27.61%,,Active,2015-04-15,day,3,101-250,"David Hart, Luke Hubbard, Mark McDermott",8,11,,,
Crozdesk,https://www.crunchbase.com/organization/crozdesk,"Crozdesk is a discovery platform that connects software buyers with B2B SaaS-based products. The platform enables its users to search for a range of software, including business management, accounting, workforce management, testing, project management, and CRM. Once its users find the software of their choice, they can purchase them from the website. Crozdesk was launched in 2014 by Nicholas Hopper and is based in England.","Cloud Computing, Developer Tools, SaaS, Software",http://crozdesk.com,"London, England, United Kingdom",Crozdesk is a discovery platform which connects software buyers with B2B SaaS products,"74,777","164,196","164,809.83",-2.62%,44.05%,242,1.86,34.34%,67.75%,-18.08%,"392,740","20,768",5.58%,,Active,2014-01-01,year,1,1-10,Nicholas Hopper,,,,,
Furioos,https://www.crunchbase.com/organization/furioos,FURIOOS transforms nearly any device with an internet connection into the 3D workstation of your dreams. It simply outsources any task your device cannot execute: it delivers power and speed in the palm of customers hand.,"3D Technology, Cloud Computing, Cloud Infrastructure",https://www.furioos.com,"Lille, Nord-Pas-de-Calais, France","Furioos is a cloud platform delivering any 3D application anywhere, anytime on any device.","372,933","142,447","51,105.83",263.25%,488.79%,"1,260",2.19,39.16%,44.39%,-38.35%,"432,355","-546,957",-55.85%,European Union (EU),Active,2016-12-15,day,1,1-10,Christophe ROBERT,,,,,
Ably Realtime,https://www.crunchbase.com/organization/ably,"Ably provides a suite of APIs to build, extend, and deliver powerful digital experiences in realtime for more than 250 million devices across 80 countries each month. Organizations like Bloomberg, HubSpot, Verizon, and Hopin depend on Ably’s platform to offload the growing complexity of business-critical realtime data synchronization at global scale. Our everyday digital experiences are in the midst of a realtime revolution. Whether attending an event in a virtual venue, receiving realtime financial information, or monitoring live car performance data – consumers simply expect realtime digital experiences as standard. As a result, synchronized data in realtime is business critical for many organizations. But building homegrown realtime synchronization capabilities is complex and costly. Ably simplifies this. In the same way that content delivery networks simplify and underpin large parts of the internet, Ably is the invisible platform and infrastructure layer powering the realtime revolution on a global scale. As the de facto platform for developers at organizations of all sizes, Ably is on track to reach one billion devices per month by 2023.","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Internet of Things, Messaging, Mobile, Real Time",https://ably.com,"London, England, United Kingdom",Ably is the platform to power synchronized digital experiences in realtime.,"41,460","125,587","146,598",-24.51%,-12.89%,365,1.58,5.36%,80.31%,-2.61%,"454,243","99,788",28.15%,,Active,2016-03-01,day,3,51-100,"Matthew O'Riordan, Matthew O'Riordan, Paddy Byers",,,,,
Clouding,https://www.crunchbase.com/organization/clouding,,"Cloud Computing, Cloud Management, Cloud Storage",https://clouding.io/en/#,"Barcelona, Catalonia, Spain",Clouding provides a wide range of cloud-based infrastructure services for small and medium sized businesses.,"271,258","118,398","318,246.67",-24.86%,-45.62%,540,2.08,-12.57%,66.66%,26.3%,"489,356","100,134",25.73%,European Union (EU),Active,2014-01-01,year,,11-50,,,,,,
Cosmos Network,https://www.crunchbase.com/organization/cosmos-network,Cosmos is a project with an ambitious mission: To create a network of distributed ledgers that will solve long-standing problems in the cryptocurrency and blockchain communities.,"Blockchain, Cloud Computing, Cryptocurrency, FinTech",https://cosmos.network/,"Zug, Zug, Switzerland",An ambitious project with the final goal of becoming the first decentralized exchange .,"7,528","102,505","75,287.67",104.03%,297.62%,334,1.23,-1.89%,85.85%,1%,"520,973","-264,328",-33.66%,,Active,2016-01-01,year,2,51-100,"Ethan Buchman, Jae Kwon",10,,,,
VOffice,https://www.crunchbase.com/organization/voffice-339d,"VOffice support online booking rentals for all devices. Website designed to get engaged and shows all the available bookings in portal Booking.com, Airbnb, HRS, HomeAway, Traum-Ferienwohnungen.de, Travanto, e-Domizil. They provide customer care and email services.","Apps, Cloud Computing, Mobile Apps",https://www.v-office.com,"Neustadt, Hamburg, Germany",VOffice manages and presents vacation rentals.,"1,355,805","92,830","216,344.17",-20.15%,132.56%,600,1.41,-11.56%,71.55%,11.66%,"575,400","90,003",18.54%,European Union (EU),Active,2015-01-01,year,,1-10,,,,,,
Cloud Finance,https://www.crunchbase.com/organization/cloud-finance,,"Business Intelligence, Cloud Computing, Finance, Software",https://www.cloudfinance.it/,"Milano, Lombardia, Italy","Cloud Finance is a software development company that specializes in electronic invoicing, business reports, and software solutions.","1,442,371","79,990","89,671",15.61%,36.14%,565,3.25,19.81%,39.49%,-0.13%,"635,638","-42,328",-6.24%,European Union (EU),Active,2014-01-01,year,,11-50,,,,,,
Aleph.im,https://www.crunchbase.com/organization/aleph-im-966e,"Aleph.im is a distributed cloud platform that provides serverless trusted computing services, file storage, and database hosting to its users.","Blockchain, Cloud Computing",https://aleph.im/,"Paris, Ile-de-France, France","Aleph.im is a distributed cloud platform that provides serverless computing services, file storage and database hosting to its users.","40,208","78,602","19,809.67","2,127.32%","30,750%",617,3.94,278.23%,46.47%,-51.48%,"621,979","-3,167,287",-83.59%,European Union (EU),Active,2019-01-01,year,1,1-10,Jonathan Schemoul,,,,,
DFINITY,https://www.crunchbase.com/organization/dfinity,"The DFINITY Foundation is a not-for-profit organization based in Zurich, Switzerland, that oversees research centers in Palo Alto, San Francisco, Tokyo, and Zurich. Our mission is to build, promote, and maintain the Internet Computer — and by doing so, improve the world. The Internet Computer extends the functionality of the internet from connecting billions of people to also providing millions of developers and entrepreneurs with a public compute platform — creating a revolutionary new way to build websites, enterprise systems and internet services within an open environment. This public software development platform is created by independent data centers around the world combining computing power using an advanced decentralized protocol called ICP. In turn, this generational shift in computing aims to take on Big Tech and return the internet back to its free and open roots. DFINITY was founded in 2016 by Dominic Williams.","Blockchain, Cloud Computing, Internet, Software",https://dfinity.org,"Zürich, Zurich, Switzerland","DFINITY reinvents the public internet as a global computer that hosts open internet services, secure software, and DeFi.","37,802","77,564","116,352.17",-9.31%,-18.89%,219,1.35,14.93%,70.99%,-17.23%,"648,440","59,460",10.1%,,Active,2016-01-01,year,1,101-250,Dominic Williams,,,83520,USD,83520
Dexatel,https://www.crunchbase.com/organization/dexatel,"Founded in 2015, Dexatel is an award-winning personalized cloud communications platform that helps businesses to automate all communication processes and focus on business growth. The company provides omnichannel communications solutions worldwide including SMS, Whatsapp, Viber, Verify and Google RCS.","Cloud Computing, Enterprise Software, Messaging, Telecommunications",https://dexatel.com,"Tallinn, Harjumaa, Estonia",Dexatel is an award-winning personalized cloud communications platform that helps businesses to automate all the communication processes.,"595,765","67,419","110,522",74.36%,1.13%,806,2.79,61.49%,58.29%,-27.94%,"689,757","-241,653",-25.94%,European Union (EU),Active,2015-04-05,day,1,51-100,Gegham Azatyan,,,,,
Vagon,https://www.crunchbase.com/organization/vagon,"Vagon is a cloud computation and streaming tech startup transforming creative apps. Each creative app has unique requirements, and Vagon is here to provide the processing power for all.","Cloud Computing, Productivity Tools, Software",https://vagon.io,"Stockholm, Stockholms Lan, Sweden",Vagon is a tech firm that offers cloud computing and application streaming services.,"45,084","64,750","54,794.83",6.36%,673.02%,487,1.48,9.26%,76.86%,-4.45%,"708,022","15,545",2.24%,"European Union (EU), Nordic Countries, Scandinavia",Active,2019-01-01,year,3,11-50,"Hasan Can Yasar, Serdar Demireren, Zahid Sagiroglu",,,,,
Arineo,https://www.crunchbase.com/organization/arineo,,"Cloud Computing, CRM, Enterprise Resource Planning (ERP), Information Technology",https://arineo.com/de/,"Göttingen, Niedersachsen, Germany","Arineo provides cloud migration, application management services and technology solutions for digital transformation.","371,597","63,352",,"6,267.04%",950%,231,3,-3.9%,59.99%,,"717,896","-5,735,493",-88.88%,European Union (EU),Active,2018-01-01,year,,251-500,,,,,,
Aruba Cloud,https://www.crunchbase.com/organization/aruba-cloud,"Aruba Cloud is the Cloud brand for Aruba S.p.A. in the European market. It has been created with the purpose of providing a complete range of Cloud services to answer the needs of companies whatever their project may be. Developing a Virtual Infrastructure, archiving and sharing data, setting up a disaster recovery plan, externalizing backups or even developing a SaaS offer from your own software… the products are a blank canvas on which customers can give life to their ideas. Through the launch of Aruba Cloud in 4 countries including France and the United-Kingdom, Aruba’s pledge relies on 2 main factors: - Infrastructure and data where your customers are The group is developing a strong European network with already 3 proprietary data centers in Italy and in Czech Republic, completed with a network of partner data centers in France, United Kingdom and Germany. - An agnostic approach to the Cloud Computing world Their solutions empower each customer to choose which virtualization technology to use, where to install their virtual machines and what to install on them… all this through a single control panel and public APIs. Aruba S.p.A., founded in 1994 in Arezzo, is the leader in Italy and in Eastern European markets for the number of hosted websites and registered domain names, with over 2 million customers and partners that allow the group to be one of the top five hosting companies in Europe and one of the top ten companies worldwide. In addition to the Web Hosting services and certified e-mail, Aruba also provides solutions of dedicated servers, housing colocation, managed services and has a strong experience in data center management. From 2011, Aruba offers Cloud services in IaaS model, through the brand Aruba Cloud. These Cloud Computing and Cloud Object Storage services are backed up by a network of proprietary and partner data centers, including the latest one of Arezzo, one of the few Tier IV data centers in Italy, which was opened in 2012.","Cloud Computing, Virtualization",http://www.arubacloud.com/,"Clichy, Ile-de-France, France",Aruba Cloud is the Cloud brand for Aruba S.p.A. in the European market.,"342,426","61,894","105,091.67",4.07%,-76.25%,152,3.06,9.47%,69.32%,-1.41%,"728,672","26,213",3.73%,European Union (EU),Active,2017-01-01,year,,,,,,,,
MOQO,https://www.crunchbase.com/organization/moqo,MOQO is the cloud-based platform enabling everyone to offer shared mobility services with outstanding quality and exceptional economy of scale.,"Cloud Computing, Cloud Infrastructure",https://moqo.de/en,"Aachen, Nordrhein-Westfalen, Germany",MOQO is the cloud based platform enabling everyone to offer shared mobility services.,"247,714","60,109","37,794.17",67.83%,-16.67%,350,1.42,-34%,82.19%,51.06%,"767,981","-270,818",-26.07%,European Union (EU),Active,2016-01-01,year,2,11-50,"Markus Harmsen, Michael Minis",,,,,
EMnify,https://www.crunchbase.com/organization/emnify,"EMnify is the leading cloud building block for cellular communications in the IoT stack, connecting millions of IoT devices globally – from electric vehicles to energy meters, alarm systems to GPS trackers, thermometers to health wearables. The EMnify API and SIM technology connect and secure any kind of IoT deployment to its application back-end. EMnify’s cloud-native integrations and no-code workflows ensure seamless lifecycle scalability for deployments of all sizes – from local start-up to global enterprise. The EMnify IoT Supernetwork is the largest globally distributed mobile cloud core network of its kind, supporting local network access (2G – 5G, LTE-M, NB-IoT) in over 195 countries from more than 25 cloud regions – and counting. EMnify’s solution is built on partnerships with the leading hyperscaler cloud service providers, system integrators and hundreds of radio network operators worldwide.  Founded in 2014, EMnify was the first to transform cellular IoT connectivity into an easy-to-consume cloud resource – trusted today by thousands of the world’s most innovative companies. To learn more about EMnify, please visit www.emnify.com","Cloud Computing, Developer APIs, Enterprise Software, IaaS, Internet of Things, PaaS, SaaS, Telecommunications",http://www.emnify.com,"Berlin, Berlin, Germany","EMnify is the leading cloud building block for cellular communications in the IoT stack, connecting millions of IoT devices globally.","10,260","56,013","46,920.17",26.07%,342.42%,146,1.41,3.2%,68.66%,1.33%,"777,487","-75,518",-8.85%,European Union (EU),Active,2014-03-15,day,3,101-250,"Alexander Schebler, Frank Stoecker, Martin Giess",,,24756503,USD,24756503
Solu,https://www.crunchbase.com/organization/solu,"Solu is aiming to change a complete industry with a unique approach and unique technology. The founders, advisors and shareholders are some of the most well known and respected figures in the industry, having built some of the most successful companies in Finland.","Cloud Computing, Electronics",http://www.solu.co/,"Helsinki, Southern Finland, Finland",Solu is aiming to change a complete industry with a unique approach and unique technology.,"70,241","54,794","21,903",601.23%,179.07%,120,1.18,-11.42%,84.93%,26.87%,"789,823","-1,578,472",-66.65%,"European Union (EU), Nordic Countries, Scandinavia",Active,2014-01-01,year,3,1-10,"Javier Reyes, Kristoffer Lawson, Pekka Nikander",,,,,
Cluvio,https://www.crunchbase.com/organization/cluvio,,"Analytics, Big Data, Business Intelligence, Cloud Computing, Data Visualization, Enterprise Software, SaaS, Small and Medium Businesses, Software",https://www.cluvio.com,"Berlin, Berlin, Germany",Cluvio is a modern cloud analytics platform for SQL and R,"257,037","53,773","134,012.33",-72.63%,-78.79%,280,1.79,-39.59%,64.5%,97.31%,"826,121","490,905",146.44%,European Union (EU),Active,2016-01-01,day,2,11-50,"Ian Formanek, Marius Kirschke",,,,,
Princh,https://www.crunchbase.com/organization/princh,Princh developed a cloud-based print solution that allows users to print through a network of publicly available printers.,Cloud Computing,https://princh.com/,"Aarhus, Midtjylland, Denmark",Princh developed a cloud-based print solution that allows users to print through a network of publicly available printers.,"507,308","53,043","64,371.67",-4.35%,-27.76%,281,1.84,6.85%,38.52%,-28.25%,"833,621","50,616",6.46%,"European Union (EU), Nordic Countries, Scandinavia",Active,2015-01-01,year,1,11-50,Thomas Ommen,,,,,
amazee.io,https://www.crunchbase.com/organization/amazee-io,"amazee.io is a ZeroOps application delivery hub for engineering teams to deploy applications more easily. The developer-centric, open source platform makes developers’ lives and jobs easier, minimizing the stress of managing infrastructure or operations. amazee.io supports organizations to accelerate their cloud and container adoption, along with providing easily managed Kubernetes for developer teams. amazee.io runs anywhere in the world, with 24/7/365 dedicated support.","Cloud Computing, Cloud Infrastructure, Information Technology, Internet, Open Source, PaaS, SaaS, Software, Web Apps, Web Hosting",https://www.amazee.io/,"Zürich, Zurich, Switzerland",Your ZeroOps application delivery hub.,"135,189","51,281","65,005",-9.95%,62.39%,"1,619",12.74,7.57%,48.28%,-31.77%,"826,922","104,745",14.5%,,Active,2016-05-01,day,3,11-50,"Dania Gerhardt, Gregory Gerhardt, Michael Schmid",,,,,
Genesis Cloud,https://www.crunchbase.com/organization/genesis-cloud,"Genesis Cloud offers cloud computing at unbeatable cost efficiency. We have exclusive access to some of the largest and most efficient GPU data centers in the world that we are fusing with modern infrastructure for a wider range of applications. All of our services are highly automated, robust, secure and scalable. From machine learning and visual effects rendering to big data analytics and storage - Genesis Cloud offers nearly unlimited compute power at your fingertips.","Cloud Computing, Cloud Infrastructure, GPU",https://www.genesiscloud.com/,"Munich, Bayern, Germany",Genesis Cloud provides accelerated cloud computing at an amazing price.,"33,416","50,570","31,983.17",-19.34%,-84.09%,296,1.65,29.97%,64.19%,-15.14%,"834,291","154,829",22.79%,European Union (EU),Active,2018-01-01,year,3,11-50,"Dutch Althoff, Julian Sprung, Maximilian Freiermuth",,,,,
AMPECO,https://www.crunchbase.com/organization/ampeco,,"Cloud Computing, Consulting, Electric Vehicle, Enterprise Software, Software",https://www.ampeco.com/,"Sofia, Grad Sofiya, Bulgaria",Ampeco provides a white-label EV charge point management platform and consulting services.,"134,096","49,293","35,665.67",-63.13%,-12.45%,"2,784",13.33,-2.43%,27.24%,126.25%,"872,152","436,409",100.15%,European Union (EU),Active,2018-01-01,year,3,11-50,"Alexander Alexiev, Orlin Radev, Stefan Ivanov",,,,,
Flow XO,https://www.crunchbase.com/organization/flow-xo,"Flow XO is a powerful automation product that allows you to quickly and simply build incredible AI chatbot solutions that help you communicate and engage with your customers across a wide range of sites, applications and social media platforms.","Cloud Computing, Information Technology, Software",https://flowxo.com,"Padiham, Lancashire, United Kingdom","Everything you need to build bots - Build, host & manage bots in one platform","131,100","48,519","71,728.33",-36.95%,-79.67%,50,1.21,-5.27%,85.87%,12.48%,"858,122","264,174",44.48%,,Active,2014-08-29,day,1,1-10,John Jackson,,,,,
