Name	Description	Location	Employees	Type	Website	Rank	Founded Date	Operating Status	Company Type	Contact Email	Headquarters Regions	Legal Name	Phone Number	Founders	Funding	Last Funding Type	Also Known As	Hiring	Stock Symbol	Sub-Organization of	Venture Info 1	Venture Info 2	Investor Type	Investment Stage	Related Hubs	Accelerator Program Type	Hub Tags	Industry 1	Industry 2	Industry 3	Industry 4	Industry 5	Industry 6	Industry 7	Industry 8	Industry 9	Industry 10	Industry 11	Industry 12	Industry 13	Industry 14	Industry 15	Industry 16	Industry 17	Industry 18	Industry 19	Industry 20	Industry 21	Industry 22	Industry 23	Industry 24	Industry 25	Industry 26	Industry 27	Industry 28	Industry 29	Industry 30	Industry 31	Industry 32	Industry 33	Industry 34	Industry 35	Industry 36	Industry 37	Link 1	Link 2	link_3	PP URL
33-communication	33 Communication is a creative agency that focuses on web applications, e-commerce, and digital marketing services to various businesses.	Athens, Attiki, Greece		Private	33communication.com	1,525,925	2008	Active	For Profit	info@33communication.com	European Union (EU)		+30-210-619-6810															Digital Marketing	E-Commerce	Web Apps																																			https://twitter.com/33Comm			https://33communication.com/privacy_policy/
360d	360D helps to display a unique interactive tour on websites by installing 360° image techniques and VR 3D.	Balen, Antwerpen, Belgium	1-10	Private	www.360d.be	1,420,667	Feb 2, 2016	Active	For Profit	info@360d.be	European Union (EU)		32-478 21 04 94															Photography	Software	Video Editing	Web Apps																																		https://www.facebook.com/pg/360Dtour			
360-telemetry	360 Telemetry is an electronics and web applications, web design, web development company.	Bolton, Bolton, United Kingdom	1-10	Private	www.360telemetry.com/	1,601,898	2008	Active	For Profit	info@360telemetry.com		360 Telemetry	+44 (0)1204 411429															Electronic Design Automation (EDA)	Mobile Apps	Web Apps	Web Design																																		https://www.360telemetry.com/	https://tw.linkedin.com/company/360-telemetry-ltd		
3asyr	3asyr is a web app used for audience with reading difficulties to read easily in online.	Dublin, Dublin, Ireland	11-50	Private	www.3asyr.com/	1,301,154		Active	For Profit	info@easyr.com	European Union (EU)	3asyR																EBooks	Software	Web Apps																																			https://www.facebook.com/3asyR	https://twitter.com/3asyr		
3d3	3D3 is a website and application design and development company.	Rotterdam, Zuid-Holland, The Netherlands	1-10	Private	www.3d3.nl/	1,941,125	Feb 1, 2016	Active	For Profit		European Union (EU)		31-108403300															Web Apps	Web Design	Web Development																																						
3d-dental-aps	3D Dental ApS is a web apps company located in Hedensted.	Hedensted, Midtjylland, Denmark	1-10	Private	www.3d-dental.dk	1,006,523	Jan 1, 2005	Active	For Profit		European Union (EU), Nordic Countries, Scandinavia		76-40-93-00															Dental	Health Care	Web Apps																																			https://www.linkedin.com/company/7069683/			
3d-interaction-technologies	3D WebGL presentations from CAD, GLTF and 360° for everybody (SaaS no code platform)	Dresden, Sachsen, Germany	11-50	Private	3dit.de; https//govie.de	95,355	Dec 5, 2013	Active	For Profit	contact@3dit.de	European Union (EU)	3D Interaction Technologies GmbH	49-351-219 674 95	Dr. Hans-Georg Giering, Henry Wojcik, Hermann Marsch, Ingolf Seifert, Jörg Ludewig, Ron Hiepel	Seed	Seed	3DIT											3D Technology	Apps	Information Technology	Software	Web Apps																																	https://www.facebook.com/3DInteractionTechnologies	https://www.linkedin.com/company/3d-interaction-technologies-gmbh		
3ie-02d2	3IE is the creativity and responsiveness of an agency and the innovation and development potential of a laboratory.	Kremlin-bicêtre, Ile-de-France, France	11-50	Private	3ie.fr	962,392	1998	Active	For Profit	contact@3ie.fr	European Union (EU)	3IE	01 53 14 59 33				3IE											Android	Education	Higher Education	Web Apps																																		https://www.facebook.com/InstitutInnovationInformatiqueEPITA/	https://www.linkedin.com/company/3ie/		https://blog.3ie.fr/privacy-policy/
3m5-media	3m5. Media focuses on developing software with intelligent system integration, user-friendly applications, IT security, & logistics, etc.	Dresden, Sachsen, Germany	11-50	Private	www.3m5.de	1,522,071	Jan 1, 1997	Active	For Profit	dresden@3m5.de	European Union (EU)		49-3514-52520															Information Technology	Software	Web Apps																																			https://www.facebook.com/3m5.de/	https://www.linkedin.com/company/3m5-/	https://twitter.com/3m5_dd	
3po	3PO designs and develops websites, apps, web apps, and online services.	Rotterdam, Zuid-Holland, The Netherlands	1-10	Private	www.3po.nl/	642,714	1995	Active	For Profit	info@3po.nl	European Union (EU)	3PO LLP	+31 010 280 1111															Apps	Internet	Web Apps	Web Design	Web Development																																	https://www.linkedin.com/company/3po/	https://twitter.com/3POnl/		
3-tier-systems	3 Tier Systems provides start ups, branding, web design and application, sage integration, e-learning, and consultation services.	Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom	11-50	Private	www.3tiersystems.com	1,737,669		Active	For Profit	info@3tiersystems.com		3 Tier Systems Limited	+44-191-287-7005															Consulting	Web Apps	Web Design	Web Development																																		https://www.linkedin.com/company/3-tier-systems/			
3xw-s%C3%A0rl	3xW offers advice, internet strategies and tailor-made development services for web and mobile solutions.	Lausanne, Vaud, Switzerland	1-10	Private	www.3xw.ch	1,953,880	Jan 1, 2010	Active	For Profit	info@3xw.ch			41-213432020															Internet	Web Apps	Web Design																																			https://www.facebook.com/3xwsarl	https://www.linkedin.com/company/3xw/	https://twitter.com/3xW_web_company	
40-bis	40 bis engages in the design and development of websites and web-based applications.	Utrecht, Utrecht, The Netherlands	1-10	Private	www.40bis.nl	1,811,360	Jan 1, 2011	Active	For Profit	info@40bis.nl	European Union (EU)		0622692244															Web Apps	Web Design	Web Development																																			https://www.linkedin.com/showcase/40bis-webdesign/			
4-f-x	4fx provides innovative and effective software solutions, mobile apps, and websites UK wide across many sectors.	Milton Keynes, Milton Keynes, United Kingdom	1-10	Private	www.4fx.co.uk/	621,768	1999	Active	For Profit	getintouch@4fx.co.uk		4fx Design & Multimedia Ltd.	+441908375200															Digital Marketing	Graphic Design	Information Technology	Software	Web Apps	Web Design	Web Development	Web Hosting																														https://www.facebook.com/4fxdesign/	https://www.linkedin.com/company/4fx-design-&-multimedia-ltd/		https://www.4fx.co.uk/legals-privacy-policy.html
4images	4images is a powerful and customized PHP and MySQL based image gallery management system.	Mannheim, Baden-Wurttemberg, Germany	1-10	Private	www.4homepages.de	808,808	Jan 1, 2003	Active	For Profit	4images@dotsunited.de	European Union (EU)		49-621-423 6886															Digital Media	Software	Web Apps																																			https://www.facebook.com/pg/4images/	https://twitter.com/4images		https://www.4homepages.de/privacy-policy
4kstudio	Software Agency	Vienna, Wien, Austria	1-10	Private	4kstudio.at	1,533,207	2011	Active	For Profit	office@4kstudio.at	European Union (EU)	Oleg Poliakov (4kStudio)		Oleg Poliakov														Information Technology	Internet	Software	Web Apps	Web Development																																				
4tpm	4TPM provides solutions for the securities business.	Paris, Ile-de-France, France	11-50	Private	4tpm.fr	1,952,737	1997	Active	For Profit	contact@4tpm.fr	European Union (EU)	4tpm	+ 33 01 80 06 94 85															Apps	Information Technology	Web Apps																																			https://www.linkedin.com/company/4tpm			
5w155	5w155 is a staffing provider with a focus on software professionals.	Geneva, Geneve, Switzerland	11-50	Private	5w155.ch	653,441	Nov 3, 2017	Active	For Profit	info@5w155.ch		5w155 SA	0041764969345	Pablo Pfister, Thierry Fragnière			5w155											Information Technology	Mobile Apps	Personal Health	Software	Web Apps																																	https://www.linkedin.com/company/5w155			https://5w155.ch/legal/privacy-policy
69pixl	69pixl est une agence web basée à Lyon et spécialisée dans la création de site Internet, le développement d'application web et mobile.	Lyon, Rhone-Alpes, France	1-10	Private	69pixl.com/	1,446,000	2014	Active	For Profit	contact@69pixl.com	European Union (EU)		+33 428 290428	Alexandre Pezzotta														Web Apps	Web Design	Web Development	Web Hosting																																		https://www.facebook.com/69pixl/	https://www.linkedin.com/company-beta/6615070/	https://twitter.com/69pixl	
7-interactive	7 Interactive is a web application development firm.	Prague, Hlavni mesto Praha, Czech Republic	1-10	Private	www.7interactive.cz	849,157	Jan 1, 2010	Active	For Profit	info@7interactive.cz	European Union (EU)		420-776 886 906															Information Technology	Web Apps	Web Development																																			https://www.facebook.com/7interactivesro/	https://www.linkedin.com/company/7-interactive-s.r.o./		
80s-interactive	The 80s Interactive team consists of seasoned programmers, designers, and content editors specializing in Magento 2 and TYPO3.	Zwanenburg, Noord-Holland, The Netherlands	1-10	Private	www.80si.com	1,661,533	Jan 1, 2008	Active	For Profit	info@80si.com	European Union (EU)	80s Interactive	020 308 0 108															E-Commerce	Mobile Apps	SEM	SEO	Social Media	Web Apps																																https://www.facebook.com/80sinteractive/	https://www.linkedin.com/company/80%27s-interactive/		
8balls	8balls is a company that specializes in IT security, web hosting, web apps and domain services.	Putten, Gelderland, The Netherlands	1-10	Private	www.8balls.nl/	1,408,988	Jan 1, 2007	Active	For Profit	info@8balls.nl	European Union (EU)		316-29313381															Domain Registrar	Information Technology	Software	Web Apps	Web Hosting																																	https://www.facebook.com/8ballsinternet/	https://www.linkedin.com/company/8balls/		
8trust	8Trust is a web development company.	Ixelles, Brussels Hoofdstedelijk Gewest, Belgium	11-50	Private	www.8trust.com/	731,050	2013	Active	For Profit	hello@8trust.com	European Union (EU)	8Trust SRL	+32 492738878															Information Technology	Project Management	Web Apps	Web Development	Web Hosting																																	https://www.facebook.com/8TrustCompany	https://www.linkedin.com/company/8trust/	https://twitter.com/8trust	
8web-interactive	8web Interactive is a web service company.	London, England, United Kingdom	1-10	Private	8web.gr/	807,411	2012	Active	For Profit			8web Interactive	+30 210 300 8932															Internet	SEO	UX Design	Web Apps	Web Design	Web Hosting																																https://www.facebook.com/8webinteractive/	https://www.linkedin.com/company/8web-interactive/		https://8web.gr/en/wordpress-web-design-privacy-policy/
960-labs	960 LABS is an outstanding design company offering skilled and inexpensive web design, efficient branding, 3D animation and motion graphics.	Glasgow, Glasgow City, United Kingdom	11-50	Private	www.960labs.com/	2,003,567	Jan 1, 2008	Active	For Profit	info@pixelbendstudios.com		960 Labs LTD	0141 389 6349															Cloud Computing	Web Apps	Web Design	Web Hosting																																		https://www.facebook.com/pixelbendstudios			
999-werbeagentur	999 advertising agency is an advertising agency expertise in brand management, web application development, 3D design, and social media.	Essen, Nordrhein-Westfalen, Germany	1-10	Private	www.999web.de	1,834,180	Jan 1, 1994	Active	For Profit	info@999werbeagentur.de	European Union (EU)	999 advertising agency Ltd.	+49 201 842350															Advertising	Social Media	Web Apps																																			https://www.facebook.com/999Werbeagentur/	https://www.linkedin.com/company/999werbeagentur/		
99-code-lines	Software development company founded in 1991 that specializes in business, mobile and web applications.	Bucharest, Bucuresti, Romania	1-10	Private	www.99codelines.com	630,575	Oct 25, 1991	Active	For Profit	office@99codelines.com	European Union (EU)																	Mobile Apps	Software	Software Engineering	Web Apps	Web Design	Web Development																																https://www.facebook.com/99codelines/	https://www.linkedin.com/company/99-code-lines/		
a10-systems	a10 systems is an information technology and telecommunications company.	Valladolid, Castilla y Leon, Spain	1-10	Private	a10sistemas.es	1,938,906	Jan 9, 2012	Active	For Profit	a10sistemas@a10sistemas.es	European Union (EU)	A10 Sistemas De Informatica Y Telecomunicaciones Profesionales Sll.	+34 983103310															Information Technology	Mobile Apps	Software	Telecommunications	Web Apps																																				
a2-colors-graphic-design	A2 colors Graphic design is a graphic design and online marketing studio.	Madrid, Madrid, Spain	1-10	Private	a2colores.es	1,230,857	2008	Active	For Profit	info@a2colores.es	European Union (EU)	A2 colors Graphic design	+34 91 430 82 28															Digital Marketing	Graphic Design	SEO	Web Apps	Web Design	Web Development																																https://www.facebook.com/A2colores	https://www.linkedin.com/company/a2-colores	https://twitter.com/a2colores	
aaltra	Aaltra provides IoT product development, UX design, mobile and web app, API, cloud server, design research, and prototyping solutions.	Melle, Oost-Vlaanderen, Belgium	11-50	Private	www.aaltra.eu/	1,260,835	Nov 28, 2007	Active	For Profit	info@aaltra.eu	European Union (EU)		+32 9 395 98 87															Internet of Things	Mobile Apps	UX Design	Web Apps																																		https://www.facebook.com/aaltra.eu	https://www.linkedin.com/company/aaltra/	https://twitter.com/aaltra	https://www.aaltra.eu/privacy-policy
aarden-experts	Aarden Experts offers web design, web application and internet services.	Bergen Op Zoom, Noord-Brabant, The Netherlands	1-10	Private	aardenexperts.com/	2,062,728	Jan 19, 2018	Active	For Profit	info@aardenexperts.com	European Union (EU)		06-36114170															Information Technology	Web Apps	Web Design																																						
aardvark-creative	Aardvark Creative is a web design company located in Bristol.	Bristol, Bristol, City of, United Kingdom		Private	aardvark-creative.com	1,903,261	Jan 1, 2002	Active	For Profit				0117 378 9008															Web Apps	Web Design	Web Development																																			http://www.facebook.com/aardvarkcreative	http://twitter.com/AardvarkCreativ		https://www.aardvark-creative.com/privacy.shtml
aardvark-fb28	AArdVark specializes in software development, hardware, ERP systems, custom applications, web & mobile apps, pre-sale & after-sales support.	Filothéi, Attiki, Greece	1-10	Private	www.aardvark.gr	1,320,507	Jan 1, 1996	Active	For Profit	info@aardvark.gr	European Union (EU)		30-2106842231															Mobile Apps	Software	Web Apps																																			https://www.linkedin.com/company/aardvark-isc-sa/			
ab4d-d-o-o	AB4D company is the leading developer of software components that use DirectX 11 or WPF 3D to show 3D content in .Net desktop applications.	Ljubljana, Ljubljana Urban Commune, Slovenia	1-10	Private	www.ab4d.com/	1,417,244	Jan 1, 2010	Active		abenedik@ab4d.com	European Union (EU)		386-041377224															Publishing	Software	Web Apps																																						
ab-data	Ab-data is a provider of municipal financial software, IT services with web and app solutions to maximum security and predictability.	Velbert, Nordrhein-Westfalen, Germany	11-50	Private	www.ab-data.de	861,595	Jan 1, 1976	Active	For Profit	info@ab-data.de	European Union (EU)		+49 2051 9440															Accounting	Software	Web Apps																																						
abiatec	Abiatec is a software firm that specializes in web development, mobile app development, hybrid mobile app, and Internet marketing support.	Minsk, Minsk, Belarus	11-50	Private	abiatec.com/	933,940	2004	Active	For Profit	info@abiatec.com		Abiatec Software Development Company	375 29 609-22-22	Oleg Lipunov			Abiatec											Information Technology	Mobile Apps	Software	Web Apps	Web Development																																	https://www.facebook.com/abiatecsource	https://www.linkedin.com/company/abiatec/	https://www.twitter.com/abiatec	
abilis-1ab5	abilis is an IT company that offers SAP solutions, software development, and web hosting services.	Blankenloch, Baden-Wurttemberg, Germany	51-100	Private	www.abilis.de	450,899	2006	Active	For Profit	info@abilis.de	European Union (EU)	abilis GmbH	49 7244 70 80 0															Information Technology	Software	Web Apps	Web Hosting																																		https://www.facebook.com/abilisGmbH.Karriere	https://www.linkedin.com/company/abilis-gmbh	https://twitter.com/abilis_gmbh	
abk-systeme	ABK-Systeme provides software manufacturers in the field of electronic payment transactions.	Dreieich, Hessen, Germany	1-10	Private	www.abk.de	1,472,233	1984	Active	For Profit	abk@paymentgroup.de	European Union (EU)	ABK-Systeme GmbH	0049 6103 98720	Armin Gerhardt														Apps	Software	Web Apps																																			https://www.facebook.com/ABK-Systeme-GmbH-113046185482422			
abl-soft	ABL Soft is a software development and web application firm.	Turin, Piemonte, Italy	11-50	Private	www.ablsoft.it/	1,715,730	2013	Active	For Profit	info@ablsoft.it	European Union (EU)	ABL Soft s.r.l.	+39-011-1966-2617															Consulting	Information Technology	Mobile Apps	Software	Web Apps																																	https://www.facebook.com/ABLSoft?fref=ts	https://www.linkedin.com/company/abl-soft-s-r-l-/		https://www.ablsoft.it/privacy-policy/
abracadacook	Abracadacook is an application that helps to track and organize meals, find recipes, and manage meal schedule for a healthier life.	Talence, Aquitaine, France	1-10	Private	abracadacook.com	2,041,360	Jan 1, 2015	Active	For Profit	contact@abracadacook.com	European Union (EU)																	Cooking	Internet	Web Apps																																			https://www.facebook.com/Abracadacook-734261733259276/?fref=ts	https://www.linkedin.com/company/abracadacook	https://twitter.com/Abracadacook	
abralytics	Abralytics develops customized analytic tools to provide insight for promoting business growth for organizations.	Dublin, Dublin, Ireland	1-10	Private	www.abralytics.com/	481,222		Active	For Profit		European Union (EU)																	Analytics	Predictive Analytics	Software	Web Apps																																		https://www.facebook.com/abralytics?_rdc=1&_rdr	https://www.linkedin.com/company/abralytics/	https://twitter.com/abralytics	
absolute-development	Absolute Development is developing mobile and web applications.	Zürich, Zurich, Switzerland	11-50	Private	www.absolute.ch	1,117,108	Jan 1, 1996	Active	For Profit	contact@absolute.ch			41 433666363															Mobile Apps	Software	Web Apps																																						
accesspal	Mapping solutions for disability	Athens, Attiki, Greece	1-10	Private	accesslab.gr/	1,076,695	Apr 24, 2017	Active	For Profit	info@accesslab.gr	European Union (EU)	AccessLab K. P. Laliotis Sole proprietorship	2106439899				AccessLab IT Services											Crowdsourcing	Geospatial	Information Technology	Mapping Services	Navigation	Software	Software Engineering	Web Apps																														https://www.facebook.com/AccessLabITServices/	https://www.linkedin.com/company/accesslab-it-services		https://accesslab.gr/en/privacy-policy/
accolm	Accolm firm provides customers with unique enterprise solutions, which assist you in solving difficulties within the areas.	Stockholm, Stockholms Lan, Sweden	11-50	Private	www.accolm.com/	1,524,824	2021	Active	For Profit	info@accolm.com	European Union (EU), Nordic Countries, Scandinavia	Accolm	+46-(0)73-962-4050															IT Management	Security	Web Apps																																			https://www.linkedin.com/company/accolm-ab/			
accsyn	Accsyn is a managed file transfer software that offers fast and secure file transfers as well as easy workflow integration for businesses.	Göteborg, Vastra Gotaland, Sweden	1-10	Private	www.accsyn.com	1,189,429	2015	Active	For Profit	hello@accsyn.com	European Union (EU), Nordic Countries, Scandinavia		+46-70-7706581															File Sharing	Software	Web Apps																																			https://www.facebook.com/accsyn	https://www.linkedin.com/company/accsyn	https://twitter.com/accsyn1	
ace-it	Ace IT is a creative marketing agency that provides online marketing and stylish websites, e-shops, and representative graphics.	Prague, Hlavni mesto Praha, Czech Republic	1-10	Private	www.aceit.cz/	1,391,312	2009	Active	For Profit	info@aceit.cz	European Union (EU)	Ace IT sro	+420 777 11 64 84															Advertising	Internet	Marketing	SEO	Web Apps																																	https://www.linkedin.com/company/ace-it-s.r.o./	https://www.twitter.com/aceitcz		
acelo	Acelo develops tailor-made applications for business in the import and product management sector.	Wavrin, Nord-Pas-de-Calais, France	1-10	Private	www.acelo-digital.com	1,573,171	Jan 1, 2013	Active	For Profit	axel@acelo-digital.com	European Union (EU)		33  320903015															Software	Web Apps	Wholesale																																			https://www.facebook.com/pg/Acelo.fr/	https://www.linkedin.com/company/acelo/	https://twitter.com/Acelo_fr	
active-solutions-dc17	Active Solutions is a web development company that provides web applications, business intelligence, and consulting services.	Bucharest, Bucuresti, Romania	1-10	Private	activesolutions.ro	2,004,424	2009	Active	For Profit	office@activesolutions.ro	European Union (EU)	ACTIVE SOLUTIONS AND KNOWLEDGE SRL	40 724 245 435															Information Technology	Web Apps	Web Development																																			https://www.facebook.com/askromania	https://www.linkedin.com/company/ask-romania		
activ-it	Activ IT designs and develops web apps, web portals, websites, mobile applications, e-shops and games.	Banská Bystrica, Banska Bystrica, Slovakia (Slovak Republic)	1-10	Private	www.activit.sk	1,479,221	Sep 3, 2000	Active	For Profit	info@activit.sk	European Union (EU)	ActivIT, sro	421-48-4133871															E-Commerce	Information Technology	Mobile Apps	Web Apps																																					
actiworks-application-solutions	Actiworks develops apps for windows mobile, android, iOS & web.	München, Bayern, Germany	1-10	Private	www.actiworks.de/	997,341	Jan 1, 2011	Active	For Profit	info@actiworks.de	European Union (EU)		49 89 2000 8860															Cloud Computing	Web Apps	Windows Phone																																						
acusu	Acusu works across several sectors to thrive in delivering powerful tools to save clients money from the start.	Tamworth, Staffordshire, United Kingdom	1-10	Private	acusu.com	1,796,802		Active	For Profit	Sales@Acusu.Com		Acusu UK, Ltd.	(+44) 208 123 7729															Software	Web Apps	Web Development																																			https://www.facebook.com/AcusuUK			
