Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
DriveHQ,https://www.crunchbase.com/organization/drivehq,"DriveHQ offers industry leading Cloud IT services. Unlike other free services designed for low-end users, DriveHQ is optimized for high-end users and businesses. There are many enterprise level features including Online File Storage (remote file server), Online Backup, Online Sharing & Collaboration, FTP/Email/Web server hosting, and more.  Business accounts are scalable, being able to support multiple computers, hundreds of thousands of files and terabytes of data with superior convenience, security and reliability. DriveHQ can not only save companies on cost, but replace their in-house IT system.","Cloud Data Services, IT Infrastructure, Web Hosting",http://www.drivehq.com,"San Ramon, California, United States","DriveHQ offers cloud-based IT services, including online file storage, backup, and sharing, optimized to suit high-end users and businesses.","418,205","5,680,487","3,832,034.83",-65.06%,-37.13%,469,7.25,51.51%,21.03%,-48.11%,"28,848","18,139",169.38%,"San Francisco Bay Area, West Coast, Western US",Active,2003-01-01,year,1,11-50,John Zhang,,,33259,USD,33259
Zenoti,https://www.crunchbase.com/organization/zenoti,"Zenoti provides an all-in-one, cloud-based software solution for the spa, salon, and med spa industries. The system supports large spa, salon, med-spa, and fitness chains with the tools to expand the network while increasing unit-level performance. In addition to being a true enterprise solution for this industry, it also supports small ad medium-sized businesses. The all-in-one system helps clients grow and manage operations. The company enables users to manage every aspect of a business in a comprehensive mobile solution with online appointment bookings, POS, CRM, employee management, inventory management, built-in marketing programs, and more. It helps clients streamline systems and decrease costs while enhancing customer retention, and spending. It was founded in 2010 and is headquartered in Bellevue, Washington.","Billing, Cloud Data Services, CRM, Enterprise Software, Marketing, Point of Sale, SaaS, Scheduling, Software",http://www.zenoti.com,"Bellevue, Washington, United States",Zenoti is a provider of cloud-based software for the spa and salon industries.,"2,037","4,750,802","4,464,888.17",-5.98%,-35.96%,869,4.94,-38.55%,38.54%,-3.67%,"32,650","2,183",7.17%,"Greater Seattle Area, West Coast, Western US",Active,2010-01-01,year,3,251-500,"Dheeraj Koneru, Saritha Katikaneni, Sudheer Koneru",131,73,1713376,USD,1713376
DMS Technologies Inc,https://www.crunchbase.com/organization/dms-technologies-inc,"DMS Technologies began leading IT Cloud and Cyber Security transformations in 2004 and grew to hold corporate presences in 12 US states, across the globe and expanded to several strategic offices in just under 5 years. We have experienced and seen it all from the inception of Artificial Intelligence, NLP & Telephony solutions to the transformations of Software Defined Infrastructure and the legacy to Cloud Data Center model; weathered and survived the technological storms, shifts, tremors; market dips, paradigm shifts, technological disruptions and financial crises.  We have expanded, thrived to become the leading choice in Cloud Security, Technology Architecture, Implementation, Management and have become the authority on Data Assurance, Data Migrations Services, Cyber, Cloud Security, Cloud Data Security, Tokenization and replication services.","Artificial Intelligence, Cloud Data Services, Cloud Security, Cyber Security, Enterprise Software, Intrusion Detection, PaaS, Penetration Testing, SaaS",http://dmst.cloud,"Raleigh, North Carolina, United States","Offering Cloud Cyber Risk Management and Resiliency for Private and Public Cloud environment AWS, Azure and GCP app/infra security solutions","528,559","3,939,892","3,959,028.67",0.32%,10.83%,522,2.78,5.95%,56.69%,-0.77%,"14,074",-72,-0.51%,"Research Triangle, East Coast, Southern US",Active,2007-05-22,day,,11-50,,,,,,
SlideServe,https://www.crunchbase.com/organization/slideserve,,"Cloud Data Services, Presentations, Public Relations, Software",http://www.slideserve.com,"New York, New York, United States",SlideServe allows you to upload and publicly or privately share your PowerPoint presentations.,"252,135","3,428,689","2,849,246.83",121.3%,-19.16%,464,1.67,2.14%,72.03%,-3.99%,"42,545","-34,473",-44.76%,"Greater New York Area, East Coast, Northeastern US",Active,2008-07-01,day,1,11-50,Rakesh Vallil,,,,,
4sync (beta),https://www.crunchbase.com/organization/4sync,"4sync is a free service that helps you sync all your documents on all your devices. Backed up by the powerful 4shared Cloud, your stuff is safe and quickly accessible anywhere in the world.  With 4sync you can easily access, sync and share all of your documents, photos, music and movies across all of your computers, mobile devices and tablets.  4sync will make your life much less stressful.  Launched in 2011 and based in San Francisco, CA, 4sync already has millions of users worldwide.","Cloud Data Services, File Sharing, Software",http://www.4sync.com,"San Francisco, California, United States",4sync (beta) is a free service that helps users sync all documents on their devices.,"526,966","2,523,989","2,793,529.33",12.27%,-54.35%,105,1.97,-3.51%,36.75%,7.46%,"52,810",-504,-0.95%,"San Francisco Bay Area, West Coast, Western US",Active,2011-06-20,day,,11-50,,1,"2,020",,,
Snowflake,https://www.crunchbase.com/organization/snowflake-computing,"Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud. The platform is built for the cloud, focusing on an instant, secure, governed access to an entire network of data, and is built to enable a variety of data workloads, including a single platform for developing modern data applications. It combines the power of data warehousing, the flexibility of big data platforms, and the elasticity of the cloud at a fraction of the cost of traditional solutions. The company was co-founded by Thierry Cruanes, Marcin Zukowski, Bob Muglia, and Benoit Dageville in 2012 and is headquartered in San Mateo, California.","Analytics, Cloud Data Services, Enterprise Software, Software",https://www.snowflake.com/,"San Mateo, California, United States",Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"1,116","2,422,488","3,316,957.33",-28.16%,-9.94%,471,2.32,-4.92%,61.44%,8.65%,"54,559","16,020",41.57%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2012-01-01,day,5,1001-5000,"Benoit Dageville, Bob Muglia, Marcin Zukowski, Mike Speiser, Thierry Cruanes",,,,,
Periscope Data,https://www.crunchbase.com/organization/periscope-inc,"Periscope Data is the most powerful, flexible analytics platform for data professionals and business users. With the fastest time to insight, periscope data helps companies ingest, store, analyze, visualize and report on data — all from a single connected platform. Periscope Data is trusted by more than 1,000 customers, including Adobe, Crunchbase, EY, Flexport and ZipRecruiter.   - 291% 2 year headcount growth - Winner of 15 Comparably awards: https://www.comparably.com/companies/periscope-data/review - Super high ratings on GlassDoor: https://www.glassdoor.com/Overview/Working-at-Periscope-Data-EI_IE1139334.11,25.htm - Voted Top Places to Work by the Bay Area News Group - Voted 2017 & 2018 Best Places To Work by the SF Business Time and the Silicon Valley Business Journal - Winner of the SaaS Award in 2018 for ""Best SaaS Product for Business Intelligence or Analytics"" - Super sticky product: customers companies spend 20 hours per week, per person, using Periscope Data! - Super high customer retention — better than best in class for a SaaS company - Our own building in SOMA! - Lunch every day, healthcare fully paid","Analytics, B2B, Big Data, Business Intelligence, Cloud Data Services, Data Integration, Data Storage, Data Visualization, SaaS",http://periscopedata.com,"San Francisco, California, United States","Periscope Data is the most powerful, flexible analytics platform for data professionals and business users.","13,907","2,381,016","2,921,008.83",-13.69%,45.03%,"1,662",1.95,2.28%,51.61%,-8.82%,"55,278","10,003",22.09%,"San Francisco Bay Area, West Coast, Western US",Closed,2012-01-01,year,2,101-250,"Harry Glaser, Tom O'Neill",,,,,
Socrata,https://www.crunchbase.com/organization/socrata,"Socrata is the market leader in making existing government data discoverable, usable, and actionable for government workers and the people they serve. Socrata provides a data-as-a-service data platform and cloud applications exclusively for city, county, state, and federal government organizations.  Socrata delivers unprecedented, data-driven innovation and cost-savings by bringing together disparate systems and leveraging the cloud to dramatically enhance the effectiveness of government programs, to improve quality of life for residents, positively impact local economies, and achieve excellence in government operations. Socrata solutions are designed and developed to meet strict government standards. The technology is optimized on the Amazon Web Services (AWS) Public Sector cloud and delivered using the exclusive Socrata Blueprint Methodology. Socrata has earned Federal Risk and Authorization Management Program (FedRAMP) Authority to Operate (ATO).","Analytics, Cloud Computing, Cloud Data Services, Enterprise Software, GovTech, Software",https://www.tylertech.com,"Seattle, Washington, United States",Socrata is a platform that enables governments to use data as a strategic asset.,"27,823","1,799,948","1,726,200.17",-37.11%,12.71%,683,2.65,-13.6%,63.91%,8.97%,"70,624","22,626",47.14%,"Greater Seattle Area, West Coast, Western US",Active,2007-01-01,year,1,51-100,Kevin Merritt,1,,,,
Funnel,https://www.crunchbase.com/organization/funnel-leasing,"Nestio provides a renter-centric platform and leasing management solution for residential landlords and brokers. From top national management companies to boutique brokerages, thousands of multifamily professionals rely on Funnel’s intuitive software to manage their inventory from one place, optimize the tenant experience from prospect to close, and drive more revenue. The company was founded in 2010 and is based in New York, New York.","Cloud Data Services, Marketing, Property Management, Real Estate, SaaS",https://funnelleasing.com/,"Odessa, Florida, United States",Nestio provides a renter-centric platform for the multifamily industry.,"49,275","1,629,537","1,155,662.83",8.46%,8.31%,769,1.23,-0.68%,82.04%,-1.65%,"73,817",855,1.17%,"Tampa Bay Area, East Coast, Southern US",Active,2010-01-01,year,3,101-250,"Caren Maio, Matt Raoul, Mike O'Toole",,,,,
Fivetran,https://www.crunchbase.com/organization/fivetran,"Fivetran offers automated data integration, and delivers ready to use connectors that automatically adapt as schemas and APIs change, ensuring consistent, reliable access to data. Fivetran improves the accuracy of data driven decisions by continuously synchronizing data from source applications to any destination, allowing analysts to work with the freshest possible data. To accelerate analytics, Fivetran enables in warehouse transformations and delivers source specific analytics templates.","Analytics, Cloud Data Services, Data Integration",https://fivetran.com,"Oakland, California, United States",Fivetran is a technology company that automates replicating data into a cloud data platforms,127,"1,599,488","1,300,099",7.96%,-32.05%,496,1.55,-10.82%,74.09%,5.86%,"77,153","-2,157",-2.72%,"San Francisco Bay Area, West Coast, Western US",Active,2012-01-01,year,2,1001-5000,"George Fraser, Taylor Brown",,,278771,USD,278771
Backblaze,https://www.crunchbase.com/organization/backblaze,"Backblaze is a one click online storage solution.  It tries to minimize the user interaction required to create a backup. Backblaze is an online backup tool that allows Windows and Mac users to back up their data to an offsite data center. The service costs $5 per month for unlimited space. It allows the user to back up data automatically, manually, when the computer is idle, or on an hourly schedule. The service also makes use of AES encryption, data compression and bandwidth throttling.","Cloud Data Services, Data Storage, Information Technology, Software",http://www.backblaze.com,"San Mateo, California, United States",Backblaze is an online storage company that offers personal and business backup as well as B2 cloud storage.,"92,568","1,589,081","1,316,116.17",35.3%,11.36%,608,4.42,12.88%,42.34%,-7.94%,"77,560","-16,784",-17.79%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2007-02-01,day,2,101-250,"Gleb Budman, Tim Nufire",1,6,466243,USD,466243
BriteVerify,https://www.crunchbase.com/organization/briteverify-com,"BriteVerify is the industry leader in email verification and delivers the industry's simplest, fastest and most affordable real-time email verification platform. Designed for any company that builds and maintains an email marketing database, BriteVerify provides a reliable safeguard against sending messages to invalid email addresses, a process that can significantly reduce marketing campaign ROI and damage a company's sender reputation. BriteVerify requires no contracts, no set up fees and with no monthly minimum, customers only to pay for what they use.","Big Data, Cloud Data Services, Email Marketing, Enterprise Software",http://www.briteverify.com,"Charlotte, North Carolina, United States",BriteVerify is an email verification platform that allows users to ensure addresses exist before sending their emails.,"304,058","1,426,978","1,713,990.17",-35.71%,-31.01%,327,1.15,-1.97%,86.66%,1.36%,"84,129","25,768",44.15%,"East Coast, Southern US",Active,2009-11-19,day,3,11-50,"James Mclachlan, Matthew McFee, Michael Flaum",,,,,
JumpCloud,https://www.crunchbase.com/organization/jumpcloud,"JumpCloud is an open directory platform for secure, frictionless access from any device to any resource, anywhere. JumpCloud’s mission is to Make Work Happen, providing simple, secure access to corporate technology resources from any device, or any location. The JumpCloud Directory Platform gives IT, security operations, and DevOps a single, cloud-based solution to control and manage employee identities, their devices, and apply Zero Trust principles. JumpCloud has a global user base of more than 100,000 organizations, with over 3,000 customers including Cars.com, GoFundMe, Grab, ClassPass, Uplight, Beyond Finance, and Foursquare. JumpCloud is backed by BlackRock, General Atlantic, OpenView, and Foundry Group.","Cloud Data Services, Cloud Management, Information Technology, Security",http://jumpcloud.com,"Louisville, Colorado, United States","JumpCloud is an open directory platform for secure, frictionless access from any device to any resource, anywhere.","1,283","1,212,761","1,427,317.17",-8.73%,114.08%,760,2.13,-2.42%,49.55%,22.13%,"92,104","11,896",14.83%,"Greater Denver Area, Western US",Active,2012-01-01,year,4,501-1000,"David Campbell, Larry Middle, Rajat Bhargava, Topher Marie",,,473958,USD,473958
CloudApp,https://www.crunchbase.com/organization/cloudapp,"CloudApp is the all-in-one visual sharing platform that lets users record, host, and share short videos, GIFs, and visuals (images, annotated screenshots) to make team and customer conversations faster and more concise. Enhancing conversations visually means that messages don't get lost in translation. CloudApp allows businesses to collaborate across multifunctional teams via visual communication.","Cloud Data Services, Enterprise Software, File Sharing, Productivity Tools",https://www.getcloudapp.com,"San Francisco, California, United States","CloudApp is a visual work communication tool for organizations to easily create, upload, and manage visual content.","5,690","1,198,865","1,312,570.17",-5.59%,-14.25%,"1,065",2.34,4.06%,65.83%,0.24%,"92,895","9,760",11.74%,"San Francisco Bay Area, West Coast, Western US",Active,2010-01-01,year,1,51-100,Tyler Koblasa,11,,,,
Paragon Robotics,https://www.crunchbase.com/organization/paragon-robotics,"Paragon Robotics is a manufacturer of world-class wireless data acquisition and control products providing logging and automation solutions in energy and industrial markets. Our sensors are used in applications ranging from energy auditing, environmental monitoring and process automation. We also provide flexible integration options for OEMs wanting to use our revolutionary platform. Our HaloCloud service enables remote alarm notification and access to real time sensor data from anywhere in the world. With lower hardware costs, extended wireless range and broad sensor compatibility, Paragon is the ideal choice for your applications.","Clean Energy, Cloud Data Services, Energy, Energy Efficiency, Energy Management, Industrial Automation, Information Technology, Manufacturing, Smart Building, Wireless",http://paragonrobotics.com,"Twinsburg, Ohio, United States",Cloud based wireless data acquisition and logging systems with remote wireless sensors.,"425,684","920,691","699,431.83",134.08%,50.59%,"2,158",10.34,49.78%,28.39%,-14.82%,"112,747","-83,302",-42.49%,"Great Lakes, Midwestern US",Active,2006-01-01,year,1,11-50,Julian Lamb,,,,,
Epion Health,https://www.crunchbase.com/organization/epion-health,"Epion Health provides a variety of mobile health applications and content using a cloud-based application and content management solution. It provides a variety of mobile health applications and content using a cloud-based application and content management solution. It was founded in 2011 and headquartered in Roseland, New Jersey.","Cloud Data Services, Health Care, Medical, Mobile, SaaS",http://www.epionhealth.com,"Hoboken, New Jersey, United States",Epion Health provides a variety of mobile health applications and content using a cloud based application and content management solution.,"4,228","868,273","840,874.83",34.08%,23.36%,602,7.33,0.58%,49.55%,-6.69%,"117,613","-19,701",-14.35%,"Greater New York Area, East Coast, Northeastern US",Active,2011-01-01,year,2,11-50,"Enrique Llaudet Carles, Joe Blewitt",,,,,
Levelset,https://www.crunchbase.com/organization/levelset,"Levelset helps contractors and suppliers get payment under control, promoting smooth payments and successful projects. By connecting to Levelset’s cloud-based platform, contractors and suppliers can make payment processes easy and simple. Users can easily exchange payment documents like lien waivers, pay applications, and preliminary notices, they see a complete picture of who is on their job, and are encouraged with the resources and knowledge they need to be confident in payment. The results are faster payments and fewer surprises.","Cloud Data Services, Construction, FinTech, SaaS",https://www.levelset.com,"New Orleans, Louisiana, United States",Levelset is a platform that helps contractors get paid faster and more efficiently.,"8,287","846,772","612,705.5",42.43%,-70.35%,145,2.17,36.7%,51.82%,-30%,"119,766","-26,317",-18.02%,Southern US,Active,2012-01-01,year,1,101-250,Scott Wolfe,,,,,
Datappraise,https://www.crunchbase.com/organization/datappraise,"A cloud-based appraisal database for commercial real estate appraisers. Use your PC, laptop or pad device to access comps and job data anywhere, anytime. Included with Datappraise is a powerful set of Excel and Word Report Building tools and templates. Your appraisal and comps on the web, along with superior report building technology, provides the most cutting-edge productivity tool available today for commercial RE appraisers.","Cloud Data Services, Market Research, Real Estate, Software",http://www.datappraise.com/,"Spokane, Washington, United States",A cloud-based appraisal database for commercial real estate appraisers.,"966,665","766,752",,114.8%,-47.74%,"2,381",8.16,-69.3%,16.33%,-9.03%,"128,889","-81,048",-38.61%,"West Coast, Western US",Active,2005-01-01,year,1,1-10,Dan Gallery,,,,,
