Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Happiest Minds Technologies,https://www.crunchbase.com/organization/happiest-minds,"Happiest Minds enables Digital Transformation for enterprises and technology providers by delivering seamless customer experience, business efficiency and actionable insights through an integrated set of disruptive technologies: big data analytics, internet of things, mobility, cloud, security, unified communications, etc. Happiest Minds offers domain centric solutions, IPs in IT Services, Product Engineering, Infrastructure Management and Security. These services have applicability across industry sectors such as Retail, CPG, e-commerce, banking, insurance, hi-tech, engineering R&D, manufacturing, automotive and travel/transportation/hospitality. As a Mindful IT Company, the focus is on ‘Being Mindful’ and ‘Doing Mindful’ which involves perceiving immersively, processing non-judgmentally and performing empathetically. 60 minutes in a week is committed towards inculcating a mindful approach within the organization, using a select set of tools and techniques. Headquartered in Bangalore, India, Happiest Minds has operations in the US, UK, The Netherlands, Australia, Middle East and Turkey.","Analytics, Cloud Computing, Social Media, Software",http://www.happiestminds.com,"Bangalore, Karnataka, India","Happiest Minds provides IT services focused on cloud computing, social media, mobility solutions, BI, analytics, and unified communications.","73,768","56,767","87,103.83",-4.24%,22.85%,672,3.12,37.19%,43.21%,-18.44%,"770,723","66,908",9.51%,Asia-Pacific (APAC),Active,2011-08-29,day,4,1001-5000,"Ashok Soota, Aurobinda Nanda, Joseph Anantharaju, Salil Godika",,,,,
Star Systems,https://www.crunchbase.com/organization/star-systems-da6e,,"Artificial Intelligence, Cloud Computing, Developer Tools, Software",https://www.starsystems.in,"Guindy, Tamil Nadu, India","Star Systems supports SMEs with product development, AI/ML solutions, DevOps and testing services based on ISV and field services.","720,215","56,553","70,200.5",423.74%,225.98%,"2,572",18.64,156.79%,35.71%,36.82%,"800,424","-1,299,475",-61.88%,Asia-Pacific (APAC),Active,2007-01-01,year,,101-250,,,,,,
ACL Digital,https://www.crunchbase.com/organization/alten-calsoft-labs,"“We at ACL Digital with 25 years of Experience in Product Engineering and Enterprise IT services, offer software as well as hardware design and testing services to global technology companies. With CMMi Level 3 delivery centers worldwide including offshore development centers in the USA, ALTEN Calsoft Labs has helped leading technology companies such as HP, Cisco, IXIA,  Samsung, Motorola, EMC, Nortel, Adobe, Radware, etc to develop and maintain various technology products and has proved to be an ideal partner for technology companies in augmenting their engineering teams Key Strengths: 1. Over 2200 people 2. 25 years in Product engineering services  3. 500 SAP consultant | 200 Oracle Consultants | 100 Bio-statistician | 100 SMAC Consultants | 500 - Other technologies like Java , C++ , Testing Tool experts , Application Developers, Opensource tools and technologies | 300+ strong team in NFV / SDN /Virtual CPE side You may find that we have very strong Enterprise , Product Engineering and networking domain expertise covering various types SAP, Oracle, Microsoft dynamics and  L2, L3 Optical/Security/Wireless networking/telecom products covering variety of RTOS/Linux platforms & embedded/BSP level software development & QA.  Relevant Technology Expertise: ü  NGDC, Networking & Security: Switching/Routing,  L2/L3, Firewall, IDS/IPS, UTM, IPSEC&SSL VPN, PKI,  AAA  Diameter/Radius, Emerging IP Multimedia Systems, VOIP/IPTV,VOD Technologies, Data Storage Technologies. ü  Network Management systems: EMS, NMS, OAMP, FCAPS, SNMP ü  Test strategy, planning, test case design, functional & regression testing, automation framework creation, test case automation, performance testing, and security testing. Assuring the best services.","Business Intelligence, Cloud Computing, Hardware, Information Technology, Internet of Things, Mobile Apps, Retail Technology, SaaS, Software",https://www.acldigital.com/,"Bangalore, Karnataka, India",25 years of Experience in Product Engineering | 500 SAP and 200 Oracle Consultants | Networking Solutions | DevOps | Hi-Tech,"114,618","56,433","109,442",113.15%,90%,399,1.59,-2.89%,68.38%,11.5%,"801,535","-449,142",-35.91%,Asia-Pacific (APAC),Active,1992-04-02,day,1,1001-5000,Ramandeep Singh,,,,,
QuadLabs Technologies,https://www.crunchbase.com/organization/quadlabs-technologies,"QuadLabs Technologies focuses on delivering technology products to the travel industry. Its products support retail sales, B2B reseller, tour operator, and business travel intermediaries. QuadLabs Technologies’ products help its customers streamline their business processes, optimize revenue streams, and improve their customer service experience. It was founded by Gaurav Chiripal in 2006. QuadLabs Technologies is based in Gurgaon, Haryana.","B2B, Cloud Computing, Enterprise Resource Planning (ERP), Information Technology, Travel",http://www.QuadLabs.com,"Gurgaon, Haryana, India","Travel technology experts providing solutions to TMC, Tour Operator, Corporate houses, Online Travel Agencies.","314,323","54,866",,"15,098.34%",,954,3.84,284.14%,12.57%,-87.43%,"816,037","-8,039,529",-90.79%,Asia-Pacific (APAC),Active,2006-10-03,day,1,101-250,Gaurav Chiripal,3,,,,
Microland,https://www.crunchbase.com/organization/microland,"Microland's delivery of digital is all about making technology do more and intrude less. As we help enterprises move to nextGen technologies, we make sure this embrace of brilliance is predictable, reliable, and stable. Incorporated in 1989 and headquartered in Bengaluru, India, Microland is comprised of more than 4,500 digital specialists across offices and delivery centers in Asia, Australia, Europe, Middle East and North America.","Application Performance Management, Cloud Computing, Cyber Security, Data Center, Data Center Automation, Internet of Things, IT Infrastructure, Network Security, Virtualization",https://www.microland.com/,"Bangalore, Karnataka, India",Making digital happen. Microland's delivery of digital is all about making technology do more and intrude less.,"141,513","52,729","119,768.67",-80.41%,62.82%,889,3.99,48.83%,49.56%,7.72%,"836,655","566,422",209.61%,Asia-Pacific (APAC),Active,1989-01-01,year,1,1001-5000,Pradeep Kar,,,,,
TatvaSoft,https://www.crunchbase.com/organization/tatvasoft,"TatvaSoft is a CMMI Level 3 & Microsoft Gold Certified  Custom Software Development organization with 720+ IT professionals inhouse. We offer programming services on diverse technology platforms like Microsoft, PHP, Mobile, Open Source, Java. With rich & varied experience of 17+ years in software development & stringent quality standards. We serve 900+ clientele across the industries and globe with offices in US, Canada, UK, Australia, and Development Center in India. Key Service Offerings: Custom Application development (White label product development) Web application development (CMS, SAAS, Cloud) Enterprise Solutions Mobile Application development (Android, iOS, Windows Phone, Cross Platform App) Testing & QA UI / UX Design Dedicated Development Center (On demand resource hiring) For more details, please visit our website: www.TatvaSoft.com","Android, Big Data, Business Intelligence, Cloud Computing, iOS, Mobile, Mobile Apps, Software, Web Development",http://www.tatvasoft.com,"Ahmedabad, Gujarat, India","CMMi ML3 & MS Gold Certified Software Development Company. Expertise: Microsoft, Java, PHP, SharePoint, Open Source, Big Data, BI, & Mobile","138,067","52,048","56,491.33",-33.86%,166.06%,290,1.18,-4.21%,86.52%,5.77%,"843,241","221,723",35.67%,Asia-Pacific (APAC),Active,2001-09-15,day,1,501-1000,Manish Patel,47,,,,
BaseZap,https://www.crunchbase.com/organization/basezap,,"Cloud Computing, Internet, Security, Web Hosting",https://www.basezap.com,"Faridabad, Haryana, India","BaseZap was built with one goal in mind, to ensure that the sites it hosts are always ahead of the curve and utilize cutting-edge tech.","1,049,584","44,541","42,773.33",-17.03%,263.2%,"1,747",7.58,102.2%,31.31%,-15.49%,"929,328","127,750",15.94%,Asia-Pacific (APAC),Active,2014-01-01,year,,11-50,,,,,,
Techiexpert,https://www.crunchbase.com/organization/techiexpert,"Techiexpert is an online technology platform enables users to know the latest developments on Emerging technologies.. and features stories exclusive stories with startups,Founders, Technology Experts","Big Data, Cloud Computing, Data Center, Internet of Things",https://www.techiexpert.com/,"Bangalore, Karnataka, India",Techiexpert.com - Emerging technologies & Startup News,"580,327","41,388","24,371.17",160.88%,-96.77%,944,4.83,382.78%,44%,-56%,"947,575","-654,029",-40.84%,Asia-Pacific (APAC),Active,2017-07-04,day,1,1-10,Srikanth T.,,,,,
DCirrus,https://www.crunchbase.com/organization/dcirrus,"DCirrus (Your Data Your Right) started its services in 2018 and is incubated under NASSCOM 10000 startups initiative. We are trying to disrupt the legal industry by empowering lawyers and advisers to use the capabilities of Cloud for storage, AI/ML for contract analysis and Blockchain for document authentication and verification. DCirrus being a startup is already handling transactions worth more than $20 billion currently on the platform. The main aim of DCirrus is providing top quality services in Virtual Data Room (VDR) industry. We help users from different professions in running the business and managing the official work with high efficiency and productivity. Our cloud storage and services is innovative and budget-friendly. DCirrus objective is to provide a cloud computing solution to users to secure, share and store their data in a highly protected environment and access the data anytime anywhere. We help businesses and companies in improving their core strength and efficiency by saving and storing the data over the cloud. You can organize your work in a better way and improve the management of your business. The members of our team are experts in technology and they use this knowledge to provide the best features that we offer in our platform. Our Virtual Data Room platform has some of the top features like advanced security, share security, security manager, device security, data storage in private cloud (data localisation), multiple users, sharing of files and folders, and sync and restore. 'SaaS', 'LegalTech', 'Cloud', 'AI/ML', 'VirtualDataRoom', 'VDR', 'Secured'","Artificial Intelligence, B2B, Blockchain, Cloud Computing, File Sharing, Information Technology, Machine Learning, SaaS, Software",https://www.dcirrus.com,"New Delhi, Delhi, India",DCirrus is a B2B SaaS Platform with Virtual Data Room and Secured File Sharing Solution using Cloud and AI/ML Technology.,"55,071","40,432",,,,416,1.37,,84.89%,,"987,974",,,Asia-Pacific (APAC),Active,2018-08-01,month,3,11-50,"Akhil Gupta, Lalit Mathur, Sonal Mathur",,,,,
2Factor,https://www.crunchbase.com/organization/2factor,,"Cloud Computing, Messaging",https://2factor.in,"Mumbai, Maharashtra, India",2Factor is a cloud mobile messaging platform.,"297,254","37,451","29,548.33",29.23%,18.6%,848,6.26,1.2%,30.5%,-17.55%,"1,037,227","-145,266",-12.28%,Asia-Pacific (APAC),Active,2015-01-01,day,1,,Rahul Ambardekar,,,,,
Pi Datacenters,https://www.crunchbase.com/organization/pi-datacenters,"Pi® Datacenters is a story envisioned by technocrats, led by the Founder & CEO Mr. Kalyan Muppaneni. The vision was to redefine customer experience while fueling customer business growth. This was backed by the mission to introduce hyperscale data centers & indigenous enterprise cloud to the Indian industry with intelligent and self-healing infrastructure. With a cumulative capacity of 500,000 sq ft built-up area and 60MW of power, including a dedicated inhouse substation, Pi® is by far India’s first Greenfield, and World’s 4th largest Uptime institute Tier lV Certified Datacenter and Enterprise Cloud (Harbour1®) provider, headquartered at Amaravati (Andhra Pradesh, India). Pi® operates out of its data centers and cloud point of presence across Amaravati (AP) Kochi, Noida, and Mumbai. The objective is to differentiate high-quality and high-performance data center hosting, while being TCO optimal, in supporting businesses for Indian and global enterprises operating in India.","Cloud Computing, Cloud Data Services, Data Center, Enterprise Software, GreenTech, Information Services, Information Technology, IT Infrastructure, Private Cloud",http://pidatacenters.com/,"Vijayawada, Andhra Pradesh, India","Pi DATACENTERS, is a green field data center organisation, gearing up to be disruptive in its approach to technology,infrastructure.","13,591","36,670",,"5,981.26%",-94.81%,105,1.37,-65.73%,62.93%,-5.61%,"1,050,421","-6,797,007",-86.61%,Asia-Pacific (APAC),Active,2014-09-04,day,1,101-250,Kalyan Muppaneni,,,,,
Precision Infomatic,https://www.crunchbase.com/organization/precision-infomatic,"Precision Infomatic provides biometric, IoT, cloud, and IT infrastructure management solutions. Precision has a strong R&D and IP creation focus and adopts a consulting approach to service clients. Precision strives to deliver value to its clients, leading to the creation of a large and loyal base of delighted customers across India through a PAN-India presence and a team of over 2500 experienced and skilled personnel.","Biometrics, Cloud Computing, Information Technology, IT Infrastructure",https://www.precisionit.co.in,"Chennai, Tamil Nadu, India","Precision Infomatic offers solutions in biometrics, IoT, cloud technology, and infrastructure management.","239,991","34,626","81,172",12.44%,-37.67%,675,3.08,-44.77%,52.85%,67.35%,"1,061,296","-13,591",-1.26%,Asia-Pacific (APAC),Active,1996-01-01,year,,1001-5000,,,,,,
