Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
GFN.RU,https://www.crunchbase.com/organization/gnf-ru,,"Cloud Computing, Cloud Data Services, Gaming",https://gfn.ru,"Moscow, Moscow City, Russian Federation","GFN.RU is NVIDIA GeForceNow Alliance Partner in Russia, Ukraine, Belarus, Armenia Azerbaijan, Kazakhstan, Uzbekistan, Moldova and Georgia","74,980","940,459","602,101.17",68.83%,-26.11%,365,2.56,-15.94%,57.71%,19.48%,"114,939","-48,572",-29.71%,,Active,2019-07-04,day,,11-50,,,,,,
Useed,https://www.crunchbase.com/organization/useed-5335,,"Cloud Data Services, Network Security, Technical Support",http://www.useed.fr,"Saint-raphaël, Aquitaine, France","Useed engages in cloud storage, data security, VPN, networking and technical assistance services.","1,998,469","640,509","483,244.17",61.66%,5.62%,"4,152",4.59,-6.72%,23.19%,-41.98%,"153,369","-55,325",-26.51%,European Union (EU),Active,2014-01-01,day,,1-10,,,,,,
PhantomBuster,https://www.crunchbase.com/organization/phantombuster,"PhantomBuster is a technology company that has been disrupting data scraping and automation on the web since 2016. We offer lead generation solutions in the form of Phantoms available for over 20 categories to help you generate leads on LinkedIn, Sales Navigator, Instagram, Facebook, and Twitter.","Advertising, Big Data, Cloud Data Services, Marketing Automation, Sales Automation",https://phantombuster.com,"Paris, Ile-de-France, France",PhantomBuster opens a new era of lead generation.,"24,329","607,144","619,686",-20.32%,35.74%,790,1.84,20.73%,67.63%,-10.77%,"158,262","28,749",22.2%,European Union (EU),Active,2016-03-01,day,2,51-100,"Guillaume Boiret, Martin Tapia",,,,,
Ydray.com,https://www.crunchbase.com/organization/www-ydray-com,WeTransfer is a privacy system-based file transfer service that enables users to transmit files of all sizes of up to 5GB around the world for free,"Cloud Data Services, File Sharing, Internet, Private Cloud",https://ydray.com/,"Ciudad Real, Castilla-La Mancha, Spain",YDRAY is a web based platform that enables its users to transfer large files for free without limits around the world.,"258,683","548,237","586,185.83",21.83%,-12.14%,680,2.31,9.4%,55.01%,5.95%,"170,367","-18,459",-9.78%,European Union (EU),Active,2013-01-01,year,3,1-10,"Alejandro González Sánchez, Jose Luis García, Jose Manuel Cejudo Morales",,,,,
Beget,https://www.crunchbase.com/organization/beget,,"Cloud Data Services, Domain Registrar, Web Hosting",https://beget.com,"Sankt-peterburg, Saint Petersburg City, Russian Federation","Beget offers web hosting, domain registration, website transfer, and VPS services.","598,235","514,389","693,087.33",-49.21%,-32.42%,644,2.63,-18.12%,45.26%,3.38%,"178,336","73,303",69.79%,,Active,2011-01-01,year,,11-50,,,,,,
UpCloud,https://www.crunchbase.com/organization/upcloud,"UpCloud prides itself on extreme redundancy, enterprise grade hardware, 100% SLA, truly flexible resources as well as high resource performance on all service levels.  The company has competitive pricing, one of the cheapest in Europe. In addition to a control panel that is easy to use, it has mobile apps for the iOS and Android platforms that give administrators the ability to monitor their servers on the go.","Cloud Computing, Cloud Data Services, IaaS, Web Hosting",https://upcloud.com,"Helsinki, Southern Finland, Finland",UpCloud offers the world's fastest cloud servers.,"18,014","473,832","374,476.67",46.5%,141.01%,"1,528",5.69,190.42%,46.65%,-33.17%,"182,070","-43,010",-19.11%,"European Union (EU), Nordic Countries, Scandinavia",Active,2011-09-01,day,1,11-50,Joel Pihlajamaa,,,14376793,USD,14376793
DanMagi,https://www.crunchbase.com/organization/danmagi,,"Cloud Data Services, Information Technology, Internet",https://www.danmagi.com/,"Skodsborg, Hovedstaden, Denmark","DanMagi delivers cloud-based internet solutions for retail, offshore, events, transportation and businesses.","569,827","472,461","106,305.17",685.59%,-91.79%,11,1.11,-56.96%,96.5%,101.67%,"182,446","-515,266",-73.85%,"European Union (EU), Nordic Countries, Scandinavia",Active,2011-01-01,day,3,11-50,"Ana Lister, Daniel Lister, Kaj Juul-Pedersen",,,,,
Jottacloud,https://www.crunchbase.com/organization/jottacloud,"Jottacloud is a service that lets you back up, store, synchronize, access and share your digital life. Jottacloud offers both unlimited and limited storage accounts for desktop and mobile. The company was started as a European alternative to cloud storage services in the US, for consumers who wants to store their files in Europe. Files ara stored in Norway, and the company operates under Norwegian privacy laws.","Cloud Data Services, Web Hosting",http://www.jottacloud.com,"Oslo, Oslo, Norway","Jottacloud offers storage services that allow users to back up, store, synchronize, access and share their digital content.","278,107","387,899","311,426",-14.41%,9.73%,699,3.19,7.56%,47.84%,-14.75%,"209,483","32,180",18.15%,"Nordic Countries, Scandinavia",Active,2011-01-10,day,1,1-10,Roland Rabben,6,"2,165",,,
PayTraq.com,https://www.crunchbase.com/organization/paytraq-sia,"PayTraq is a cloud-based integrated business solution purpose-built for SME market around the world. ERP level functionality with an easy-to-use interface saves time, and makes it easier to get started.  PayTraq is the only software you need to run your business, in real time, quickly and efficiently. Say goodbye to complicated ERP and accounting software. PayTraq has only the features you really need now or require in the nearest future.","Accounting, Cloud Data Services, Enterprise Software, SaaS, Software",http://paytraq.com,"Marupe, Rigas, Latvia","A Cloud-based Business Suite. All in one solution for online invoicing, billing, accounting & inventory management.","500,047","295,622","263,277.33",227.56%,-42.03%,"1,637",19.71,-65.3%,4.79%,-70.6%,"262,592","-305,426",-53.77%,European Union (EU),Active,2014-05-30,day,1,1-10,Oleg Golitsin,1,,,,
iNNOVO Cloud,https://www.crunchbase.com/organization/innovo-cloud-gmbh,"German Edge Cloud (GEC) is a company that specializes in cutting-edge cloud and edge technologies. GEC's solutions make data in networked environments accessible quickly, conveniently, and securely, assist process optimization in the manufacturing industry, for example, through data analytics, and provide customers with complete data sovereignty whether connecting to the public or private cloud. They integrate and manage hybrid private edge cloud infrastructures, ranging from Infrastructure as a Service (IaaS) and Platform as a Service (PaaS) to industry-specific software in the Software as a Service paradigm (SaaS). Their services include edge computing, cloud computing, industrial automation, networking, industry 4.0, and digital transformation.","Cloud Computing, Cloud Data Services, Industrial Automation, Information Technology, SaaS, Software",https://innovo-cloud.de,"Eschborn, Hessen, Germany",iNNOVO Cloud is a cloud-based IT and service organization.,"235,710","253,280","1,465,785.5",-81.29%,-53.03%,"1,760",13.25,-47.56%,25%,87.55%,"292,317","207,480",244.56%,European Union (EU),Active,2018-01-01,year,,11-50,,,,,,
Aiven,https://www.crunchbase.com/organization/aiven,"Aiven is a technology-driven company that enables businesses to manage an open-source data infrastructure in the cloud. Headquartered in Helsinki with offices in Berlin, Sydney, Toronto, and Boston, Aiven provides managed open-source data technologies, like PostgreSQL, Kafka, and M3, on all major clouds. It enables its customers to drive business results from open-source that trigger true transformations far beyond their own backyards.","Cloud Data Services, Cloud Infrastructure, Database, Open Source",https://aiven.io,"Helsinki, Southern Finland, Finland",Aiven is a technology-driven company that enables businesses to manage an open-source data infrastructure in the cloud.,"2,884","178,452","125,249.17",76.76%,-11.11%,264,2.12,38.83%,57.76%,-17.47%,"358,000","-137,230",-27.71%,"European Union (EU), Nordic Countries, Scandinavia",Active,2016-01-01,year,4,251-500,"Hannu Valtonen, Heikki Nousiainen, Mika Eloranta, Oskari Saarenmaa",,,12995758,USD,12995758
Routee,https://www.crunchbase.com/organization/routee,"Routee, powered by AMD Telecom, is our mission to create more possibilities for the community by providing people, applications, companies and machines with access to everything they need to communicate, when, where and how they need it.They are building this new reality of communication by achieving connections through device agnostic, plug n’ play API’s, as well as our web based multichannel messaging platform for enterprises and developers.","Cloud Data Services, Developer APIs, Messaging",https://www.routee.net,"Thessaloníki, Thessaloniki, Greece",Routee is a communication privacy and security company for the contract.,"73,666","176,197","74,841",116.14%,"1,406.67%","1,808",1.4,-19.11%,84.34%,47.96%,"361,194","-210,689",-36.84%,European Union (EU),Active,2015-01-01,year,1,51-100,Dimitris Rokos,,,,,
Oxylabs,https://www.crunchbase.com/organization/oxylabs,"As a leading company in the proxy and web scraping industry, we ensure that the highest business ethics standards lead all our operations. Our core values guide us toward achieving our mission.","Big Data, Business Intelligence, Cloud Data Services, Data Integration, Data Mining, Information Technology, Software",https://oxylabs.io/,"Vilnius, Vilniaus Apskritis, Lithuania",A market-leading proxy and web scraping solution service for large-scale public data gathering.,"57,170","171,807","128,999.67",42.05%,-18.13%,307,1.81,-26.81%,73.02%,25.27%,"367,308","-71,796",-16.35%,European Union (EU),Active,2015-01-01,year,1,251-500,Mindaugas Caplinskas,,,,,
Postex,https://www.crunchbase.com/organization/postex,,"Cloud Data Services, Information Technology, Mobile Payments",https://www.postex.com/nl/,"Amsterdam, Noord-Holland, The Netherlands","Postex is an IT firm that offers services like communication cloud platform, online payment services and customer communication management.","363,577","155,759","147,151.33",5.99%,-49.28%,176,1.58,-9.69%,70.46%,18.5%,"392,297","6,910",1.79%,European Union (EU),Active,2014-01-01,day,,11-50,,,,,,
CloudBM,https://www.crunchbase.com/organization/cloudbm,,"Cloud Computing, Cloud Data Services, Information Technology, Internet, Software",https://www.cloudbm.com,"Sofia, Grad Sofiya, Bulgaria",CloudBM Web Solutions is a software company exclusively dedicated to cloud-based projects.,"1,680,017","146,165","42,242.83",271.17%,53.51%,852,2.74,22.18%,12.9%,-47.15%,"424,646","-552,160",-56.53%,European Union (EU),Active,2010-01-01,year,,1-10,,,,,,
Telaris,https://www.crunchbase.com/organization/telaris,,"Cloud Data Services, Information Technology, Software, Web Browsers",https://telaris.no/,"Kristiansand, Vest-Agder, Norway","Telaris provides cloud-based, innovative and mobile-enabled solutions that help with the smooth function in the office as well as on-site.","614,576","144,909","265,022.83",33.11%,10.26%,"3,569",29.33,58.15%,11.11%,-15.9%,"412,664","-58,357",-12.39%,"Nordic Countries, Scandinavia",Active,2013-01-01,day,,1-10,,,,,,
LogSentinel,https://www.crunchbase.com/organization/logsentinel,"We, at LogSentinel, deliver robust and reliable cybersecurity solutions designed to protect against data breaches and insider attacks, as well as ensure a higher level of compliance with legal standards and regulations.  Our main offering, LogSentinel SIEM, is a cutting-edge next-gen SIEM system offering simplicity, predictability, and innovation like nobody else on the market. By leveraging the latest innovations in technology including blockchain and machine learning, it helps organizations of all sizes to eliminate their blind spots and reduce the time and cost of incident detection and investigation.  LogSentinel SIEM offers one-of-a-kind security innovation: privacy of logs, audit log integrity, unlimited retention, and full visibility, all at a flat and predictable fee, estimated by the number of employees. We provide a solution that was previously thought to be only fit for large enterprises, to customers that could not have afforded it, and who are left vulnerable because of that. We are happy to help small and medium enterprises in their cybersecurity and compliance efforts because the world won’t be more secure if a few large companies buy every security product out there. It will be more secure only if every enterprise has access to the best tools.  Privacy Policy: https://logsentinel.com/privacy-policy","Cloud Data Services, Compliance, Cyber Security, Database, Developer Tools, Fraud Detection, Information Technology, SaaS, Software",https://logsentinel.com,"Naarden, Noord-Holland, The Netherlands",LogSentinel's mission is to help organizations improve their security posture by leveraging the latest technologies like blockchain and AI.,"50,518","133,547","34,022.67","2,420.23%",9.22%,"1,457",9.29,97.6%,19.18%,-70.57%,"436,050","-2,614,641",-85.71%,European Union (EU),Active,2017-11-15,day,3,11-50,"Anton Gerunov, Bozhidar Bozhanov, Kalina Konstantinova",,,,,
orderbird,https://www.crunchbase.com/organization/orderbird-ag,"Orderbird is focused on building an intuitive and customer-centric solution helping hospitality merchants by introducing Germany’s first iPad-based POS. It is a provider of Integrated Software solutions for independent restaurateurs and SMBs. It is offering its customers professional, easy-to-use POS systems and add-on products optimizing their business operations and providing a flexible alternative to costly, time-consuming, and paperwork-intensive legacy systems.","Big Data, Cloud Data Services, Hospitality, Payments, Point of Sale, Productivity Tools, Small and Medium Businesses, Software",http://www.orderbird.com,"Berlin, Berlin, Germany",Orderbird is a cloud provider of iPad and Android POS systems for the hospitality industry and the SMB market.,"10,939","130,642","125,738",65.26%,-26.98%,690,3.56,12.91%,39.17%,13.67%,"442,547","-141,174",-24.19%,European Union (EU),Active,2011-01-01,year,4,51-100,"Artur Hasselbach, Bastian Schmidtke, Jakob Schreyer, Patrick Brienen-Lucius",1,13,4107999,USD,4107999
Ably Realtime,https://www.crunchbase.com/organization/ably,"Ably provides a suite of APIs to build, extend, and deliver powerful digital experiences in realtime for more than 250 million devices across 80 countries each month. Organizations like Bloomberg, HubSpot, Verizon, and Hopin depend on Ably’s platform to offload the growing complexity of business-critical realtime data synchronization at global scale. Our everyday digital experiences are in the midst of a realtime revolution. Whether attending an event in a virtual venue, receiving realtime financial information, or monitoring live car performance data – consumers simply expect realtime digital experiences as standard. As a result, synchronized data in realtime is business critical for many organizations. But building homegrown realtime synchronization capabilities is complex and costly. Ably simplifies this. In the same way that content delivery networks simplify and underpin large parts of the internet, Ably is the invisible platform and infrastructure layer powering the realtime revolution on a global scale. As the de facto platform for developers at organizations of all sizes, Ably is on track to reach one billion devices per month by 2023.","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Internet of Things, Messaging, Mobile, Real Time",https://ably.com,"London, England, United Kingdom",Ably is the platform to power synchronized digital experiences in realtime.,"41,460","125,587","146,598",-24.51%,-12.89%,365,1.58,5.36%,80.31%,-2.61%,"454,243","99,788",28.15%,,Active,2016-03-01,day,3,51-100,"Matthew O'Riordan, Matthew O'Riordan, Paddy Byers",,,,,
Syncee,https://www.crunchbase.com/organization/syncee,"Syncee delivers a powerful, easy-to-use & 100% cloud-based solution to import your product information from Shopify. Syncee automatically uploads and synchronizes your suppliers'​ data feed file with your online store. You can add it to your webshop with just one click, so no programming skills are required. All major data feed formats are accepted! -It does not matter what your suppliers'​ data feed format is, XML, CSV, XLS(X), TXT or JSON, Syncee can use it to handle your imports. Data feed Connections -We have many connection methods to your suppliers'​ data feed, like manual file upload, FTP upload, secured URL upload, URL upload, Dropbox URL upload, Google drive URL upload, OneDrive URL, API, SOAP etc.. Unlimited supplier data feed -While most Shopify applications limit the number of suppliers in their pricing plans, Syncee enables you to use as many suppliers as you want. You do not need to pay more for using different resources. -Use all major file sources and file types to manage your inventory. -Convert your supplier's currency to your store's and manage your profit with one easily managable wizard. -Schedule the running of your imports and updates in any timezones, receive reports about the results.","Cloud Data Services, E-Commerce, SaaS",http://www.syncee.co,"Debrecen, Debrecen, Hungary","B2B Platform For Dropshippers, Retailers, and Suppliers","216,554","119,000","128,372.33",0.12%,-26.79%,347,2.12,15.59%,66.21%,-4.27%,"487,610","15,819",3.35%,European Union (EU),Active,2015-01-01,year,1,11-50,Akos Gulyas,,,,,
IThinkUPC,https://www.crunchbase.com/organization/ithinkupc,,"Analytics, Cloud Data Services, Consulting, Cyber Security, Information Technology",https://www.ithinkupc.com/ca,"Barcelona, Catalonia, Spain","IThinkUPC provides solutions in analytics & artificial intelligence, digital design, cybersecurity, application, cloud and managed services.","537,436","116,129","95,438","10,692.66%",-74.99%,13,1.03,3.2%,98.22%,-1.78%,"495,830","-6,274,391",-92.68%,European Union (EU),Active,2016-01-01,year,,251-500,,,,,,
Quenza,https://www.crunchbase.com/organization/quenza,,"Cloud Data Services, Health Care, Information Technology, Software",https://quenza.com/,"Maastricht, Limburg, The Netherlands",Quenza is an information management tool that allows mental health practitioners to engage their clients digitally.,"300,779","102,826","106,210.83",9.25%,-5.84%,387,1.58,-32.99%,72.25%,11.72%,"538,730","-13,353",-2.42%,European Union (EU),Active,2019-01-01,year,1,11-50,Ernst Jansen,,,,,
Matillion,https://www.crunchbase.com/organization/matillion,"Matillion makes the world’s data useful with an easy-to-use, cloud-native data integration and transformation platform. Optimized for modern enterprise data teams, only Matillion is built on native integrations to cloud data platforms such as Snowflake, Delta Lake on Databricks, Amazon Redshift, Google BigQuery, and Microsoft Azure Synapse to enable new levels of efficiency and productivity across any organization.","Analytics, Cloud Data Services, Data Integration, SaaS, Software",https://www.matillion.com,"Manchester, Manchester, United Kingdom",Matillion is an integration platform for cloud data warehouses.,"25,095","102,580","135,453.83",32.49%,-65.79%,52,1.55,0.78%,75.94%,11.63%,"520,755","-70,935",-11.99%,,Active,2011-01-01,month,2,501-1000,"Ed Thompson, Matthew Scullion",,,13743126,USD,13743126
Jina AI,https://www.crunchbase.com/organization/jina-ai,"Jina AI is a neural search company that provides cloud-native neural search solutions powered by AI and deep learning. It provides an open-source neural search ecosystem for businesses and developers, enabling everyone to search for information in all kinds of data with high availability and scalability.","Artificial Intelligence, Cloud Data Services, Machine Learning, Open Source, Software",https://jina.ai,"Berlin, Berlin, Germany",Empowering businesses and developers to build neural search solutions in minutes at scale.,"6,357","95,397","43,395.67",321.98%,857.14%,"1,072",3.42,165.82%,40.08%,-53.06%,"565,308","-824,162",-59.31%,European Union (EU),Active,2020-02-01,day,2,11-50,"Han Xiao, Xuanbin He",,,,,
KrakenD,https://www.crunchbase.com/organization/krakend,,"Cloud Data Services, Developer APIs, Enterprise Software, Open Source, Software, Web Development",https://www.krakend.io,"Barcelona, Catalonia, Spain","KrakenD is the leading stateless, distributed, high-performance API Gateway that helps you effortlessly adopt microservices","236,241","94,361","54,871.67",421.99%,-6.35%,531,4.82,38.65%,23.98%,-48.94%,"551,093","-940,669",-63.06%,European Union (EU),Active,2021-06-21,day,4,1-10,"Albert Garcia, Albert Lombarte, Daniel Lopez, Daniel Ortiz",,,,,
Trevor.io,https://www.crunchbase.com/organization/trevor,"Trevor is a data browser that enables product and marketing teams to easily access, explore, and learn from their company database.","Business Intelligence, Cloud Data Services, Data Visualization, Database, Software",https://trevor.io,"Berlin, Berlin, Germany",Trevor.io is a software tool that is used to visualize database schema.,"147,410","93,120","113,722",92.81%,85.93%,740,4.85,42.36%,29.62%,-10.73%,"555,961","-251,389",-31.14%,European Union (EU),Active,2016-03-08,day,2,1-10,"Harry Marshall, Tom Gardiner",,,,,
